degree,section,course_code,course_name
Bachelor of Accounting,Electives,ACCT1005,UO Accounting for Business
Bachelor of Accounting,Electives,ACCT1006,UO Financial Accounting 1
Bachelor of Accounting,Electives,BUSI1030,UO Career Development in Business
Bachelor of Accounting,Electives,ECON1010,UO Principles of Economics
Bachelor of Accounting,Electives,LAWS1018,UO Business Law
Bachelor of Accounting,Electives,MARK1013,UO Marketing Principles: Trading and Exchange
Bachelor of Accounting,Electives,MATH1028,UO Quantitative Methods for Business
Bachelor of Accounting,Electives,ACCT2003,UO Financial Accounting 2
Bachelor of Accounting,Electives,ACCT2004,UO Management Accounting
Bachelor of Accounting,Electives,BAFI2025,UO Business Finance
Bachelor of Accounting,Electives,BUSI2019,UO Management and Organisation
Bachelor of Accounting,Electives,INFO2022,UO Business Intelligence
Bachelor of Accounting,Electives,LAWS2012,UO Companies and Partnership Law
Bachelor of Accounting,Electives,ACCT3003,UO Auditing Theory and Practice
Bachelor of Accounting,Electives,ACCT3004,UO Contemporary Issues in Accounting
Bachelor of Accounting,Electives,ACCT3005,UO Financial Accounting 3
Bachelor of Accounting,Electives,ACCT3006,UO Sustainability Accounting and Reporting
Bachelor of Accounting,Electives,BUSI3034,UO Strategic Financial Analysis
Bachelor of Accounting,Electives,LAWS3007,UO Taxation Law 1
Bachelor of Accounting,Standard study plans,SOCI3014,UO Critical Approaches to Online Learning
Bachelor of Accounting,Standard study plans,BUSI1018,UO Business and Society
Bachelor of Accounting,Standard study plans,ACCT1005,UO Accounting for Business
Bachelor of Accounting,Standard study plans,LAWS1018,UO Business Law
Bachelor of Accounting,Standard study plans,MATH1028,UO Quantitative Methods for Business
Bachelor of Accounting,Standard study plans,ACCT1006,UO Financial Accounting 1
Bachelor of Accounting,Standard study plans,MARK1013,UO Marketing Principles: Trading and Exchange
Bachelor of Accounting,Standard study plans,ECON1010,UO Principles of Economics
Bachelor of Accounting,Standard study plans,ACCT2003,UO Financial Accounting 2
Bachelor of Accounting,Standard study plans,BUSI1030,UO Career Development in Business
Bachelor of Accounting,Standard study plans,ACCT2004,UO Management Accounting
Bachelor of Accounting,Standard study plans,BAFI2025,UO Business Finance
Bachelor of Accounting,Standard study plans,INFO2022,UO Business Intelligence
Bachelor of Accounting,Standard study plans,ACCT3005,UO Financial Accounting 3
Bachelor of Accounting,Standard study plans,LAWS2012,UO Companies and Partnership Law
Bachelor of Accounting,Standard study plans,BUSI2019,UO Management and Organisation
Bachelor of Accounting,Standard study plans,ACCT3003,UO Auditing Theory and Practice
Bachelor of Accounting,Standard study plans,ACCT3004,UO Contemporary Issues in Accounting
