degree,section,course_code,course_name
Bachelor of Arts,Common core,COREX001,An Ethically Rich Life
Bachelor of Arts,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Arts,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Arts,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Arts,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Arts,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Arts,Common core,SOCI1007,Professional Pathways and Destinations 1
Bachelor of Arts,Common core,SOCI2019,Professional Pathways and Destinations 2
Bachelor of Arts,Common core,SOCI3903,Internship: Society and Culture
Bachelor of Arts,Common core,AUXX1011,Elective 1
Bachelor of Arts,Common core,AUXX1012,Elective 2
Bachelor of Arts majoring in Aboriginal Studies,Common core,COREX001,An Ethically Rich Life
Bachelor of Arts majoring in Aboriginal Studies,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Arts majoring in Aboriginal Studies,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Arts majoring in Aboriginal Studies,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Arts majoring in Aboriginal Studies,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Arts majoring in Aboriginal Studies,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Arts majoring in Aboriginal Studies,Common core,INDG1000,Aboriginal Cultures
Bachelor of Arts majoring in Aboriginal Studies,Common core,INDG1001,Indigenous Philosophies
Bachelor of Arts majoring in Aboriginal Studies,Common core,INDG2000,"Space, Place and Belonging"
Bachelor of Arts majoring in Aboriginal Studies,Common core,INDG2001,Aboriginal Peoples Law and Land
Bachelor of Arts majoring in Aboriginal Studies,Common core,INDG2002,Relatedness and Indigenous Peoples
Bachelor of Arts majoring in Aboriginal Studies,Common core,INDG3000,Aboriginal Wellness and Wellbeing
Bachelor of Arts majoring in Aboriginal Studies,Common core,INDG3001,Indigenous Nation Building and Governance
Bachelor of Arts majoring in Aboriginal Studies,Common core,INDG3002,Sovereign Stories and Subjectivity in Media
Bachelor of Arts majoring in Aboriginal Studies,Common core,SOCI1007,Professional Pathways and Destinations 1
Bachelor of Arts majoring in Aboriginal Studies,Common core,SOCI2019,Professional Pathways and Destinations 2
Bachelor of Arts majoring in Aboriginal Studies,Common core,SOCI3903,Internship: Society and Culture
Bachelor of Arts majoring in Aboriginal Studies,Common core,AUXX1011,Elective 1
Bachelor of Arts majoring in Aboriginal Studies,Common core,AUXX1012,Elective 2
Bachelor of Arts majoring in Aboriginal Studies,Common core,ARTHBARTS,Art History and Visual Culture
Bachelor of Arts majoring in Aboriginal Studies,Common core,CULTBARTS,Cultural Studies
Bachelor of Arts majoring in Aboriginal Studies,Common core,ENGLBARTS,English Literature
Bachelor of Arts majoring in Aboriginal Studies,Common core,ENVMBARTS,Environmental Management
Bachelor of Arts majoring in Aboriginal Studies,Common core,INTSBARTS,International Security
Bachelor of Arts majoring in Aboriginal Studies,Common core,FRENBARTS,French Studies
Bachelor of Arts majoring in Aboriginal Studies,Common core,POLIBARTS,Politics
Bachelor of Arts majoring in Aboriginal Studies,Common core,POPUBARTS,Population and Migration Studies
Bachelor of Arts majoring in Aboriginal Studies,Common core,SCRNBARTS,Screen Studies
Bachelor of Arts majoring in Aboriginal Studies,Common core,SOCIBARTS,Sociology
Bachelor of Arts majoring in Aboriginal Studies,Common core,SPANBARTS,Spanish Studies
Bachelor of Arts majoring in Aboriginal Studies,Common core,GERMBARTS,German Studies
Bachelor of Arts majoring in Aboriginal Studies,Common core,ARCYBARTS,Archaeology and Classical Studies
Bachelor of Arts majoring in Aboriginal Studies,Common core,CREWBARTS,Creative Writing
Bachelor of Arts majoring in Aboriginal Studies,Common core,ANTHBARTS,Anthropology
Bachelor of Arts majoring in Aboriginal Studies,Common core,CHINBARTS,Chinese Studies
Bachelor of Arts majoring in Aboriginal Studies,Common core,GENDBARTS,Gender and Sexuality Studies
Bachelor of Arts majoring in Aboriginal Studies,Common core,GEOGBARTS,Geography
Bachelor of Arts majoring in Aboriginal Studies,Common core,HISTBARTS,History
Bachelor of Arts majoring in Aboriginal Studies,Common core,INTDBARTS,International Development
Bachelor of Arts majoring in Aboriginal Studies,Common core,ITALBARTS,Italian Studies
Bachelor of Arts majoring in Aboriginal Studies,Common core,JAPNBARTS,Japanese Studies
Bachelor of Arts majoring in Aboriginal Studies,Common core,LINGBARTS,Linguistics and Applied Linguistics
Bachelor of Arts majoring in Aboriginal Studies,Common core,PHILBARTS,Philosophy
Bachelor of Arts majoring in Aboriginal Studies,Common core,SOCRBARTS,Social Research and Policy Analysis
Bachelor of Arts majoring in Aboriginal Studies,Common core,KAURBARTS,Kaurna Languages
Bachelor of Arts majoring in Anthropology,Common core,COREX001,An Ethically Rich Life
Bachelor of Arts majoring in Anthropology,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Arts majoring in Anthropology,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Arts majoring in Anthropology,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Arts majoring in Anthropology,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Arts majoring in Anthropology,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Arts majoring in Anthropology,Common core,ANTH1000,"People, Cultures, Societies: Doing Anthropology"
Bachelor of Arts majoring in Anthropology,Common core,ANTH3003,Visual and Media Anthropology
