degree,section,stream,course_code,course_name
Bachelor of Accounting,Core courses,,ACCT1005,UO Accounting for Business
Bachelor of Accounting,Core courses,,ACCT1006,UO Financial Accounting 1
Bachelor of Accounting,Core courses,,BUSI1030,UO Career Development in Business
Bachelor of Accounting,Core courses,,ECON1010,UO Principles of Economics
Bachelor of Accounting,Core courses,,LAWS1018,UO Business Law
Bachelor of Accounting,Core courses,,MARK1013,UO Marketing Principles: Trading and Exchange
Bachelor of Accounting,Core courses,,MATH1028,UO Quantitative Methods for Business
Bachelor of Accounting,Core courses,,ACCT2003,UO Financial Accounting 2
Bachelor of Accounting,Core courses,,ACCT2004,UO Management Accounting
Bachelor of Accounting,Core courses,,BAFI2025,UO Business Finance
Bachelor of Accounting,Core courses,,BUSI2019,UO Management and Organisation
Bachelor of Accounting,Core courses,,INFO2022,UO Business Intelligence
Bachelor of Accounting,Core courses,,LAWS2012,UO Companies and Partnership Law
Bachelor of Accounting,Core courses,,ACCT3003,UO Auditing Theory and Practice
Bachelor of Accounting,Core courses,,ACCT3004,UO Contemporary Issues in Accounting
Bachelor of Accounting,Core courses,,ACCT3005,UO Financial Accounting 3
Bachelor of Accounting,Core courses,,ACCT3006,UO Sustainability Accounting and Reporting
Bachelor of Accounting,Core courses,,BUSI3034,UO Strategic Financial Analysis
Bachelor of Accounting,Core courses,,LAWS3007,UO Taxation Law 1
Bachelor of Accounting,Core courses,Standard study plans,SOCI3014,UO Critical Approaches to Online Learning
Bachelor of Accounting,Core courses,Standard study plans,BUSI1018,UO Business and Society
Bachelor of Accounting,Core courses,Standard study plans,ACCT1005,UO Accounting for Business
Bachelor of Accounting,Core courses,Standard study plans,LAWS1018,UO Business Law
Bachelor of Accounting,Core courses,Standard study plans,MATH1028,UO Quantitative Methods for Business
Bachelor of Accounting,Core courses,Standard study plans,ACCT1006,UO Financial Accounting 1
Bachelor of Accounting,Core courses,Standard study plans,MARK1013,UO Marketing Principles: Trading and Exchange
Bachelor of Accounting,Core courses,Standard study plans,ECON1010,UO Principles of Economics
Bachelor of Accounting,Core courses,Standard study plans,ACCT2003,UO Financial Accounting 2
Bachelor of Accounting,Core courses,Standard study plans,BUSI1030,UO Career Development in Business
Bachelor of Accounting,Core courses,Standard study plans,ACCT2004,UO Management Accounting
Bachelor of Accounting,Core courses,Standard study plans,BAFI2025,UO Business Finance
Bachelor of Accounting,Core courses,Standard study plans,INFO2022,UO Business Intelligence
Bachelor of Accounting,Core courses,Standard study plans,ACCT3005,UO Financial Accounting 3
Bachelor of Accounting,Core courses,Standard study plans,LAWS2012,UO Companies and Partnership Law
Bachelor of Accounting,Core courses,Standard study plans,BUSI2019,UO Management and Organisation
Bachelor of Accounting,Core courses,Standard study plans,ACCT3003,UO Auditing Theory and Practice
Bachelor of Accounting,Core courses,Standard study plans,ACCT3004,UO Contemporary Issues in Accounting
Bachelor of Accounting,Core courses,Standard study plans,ACCT3006,UO Sustainability Accounting and Reporting
Bachelor of Accounting,Core courses,Standard study plans,LAWS3007,UO Taxation Law 1
Bachelor of Accounting,Core courses,Standard study plans,BUSI3034,UO Strategic Financial Analysis
Bachelor of Accounting,Core courses,Standard study plans,-,Elective
Bachelor of Accounting,Core courses,Standard study plans,-,Elective
Bachelor of Accounting,Core courses,Standard study plans,-,Elective
Bachelor of Accounting,Electives,Program electives,SOCI3014,UO Critical Approaches to Online Learning
Bachelor of Accounting,Electives,Program electives,AUXX1011,Elective 1
Bachelor of Accounting,Electives,Program electives,AUXX1012,Elective 2
Bachelor of Accounting,Electives,Program electives,AUXX1013,Elective 3
Bachelor of Accounting,Electives,Program electives,AUXX1014,Elective 4
Bachelor of Accounting,Electives,Program electives,AUXX1015,Elective 5
Bachelor of Accounting,Electives,Program electives - Business,ECON1010,UO Principles of Economics
Bachelor of Accounting,Electives,Program electives - Business,ECON1011,UO Macroeconomics
Bachelor of Accounting,Electives,Program electives - Business,ECON2007,UO Economic Analysis of Business Decisions
Bachelor of Accounting,Electives,Program electives - Business,ECON2008,UO Empirical Business Analysis
Bachelor of Accounting,Electives,Program electives - Business,ECON2009,UO Growth Development and the Macroeconomy
Bachelor of Accounting,Electives,Program electives - Business,ECON3007,UO Economics of Public Policy
Bachelor of Accounting,Electives,Program electives - Business,ECON3008,UO International Economics
Bachelor of Accounting,Electives,Program electives - Business,HOSP1003,UO Fundamentals of Global Tourism & Hospitality
