degree,section,course_code,course_name
Bachelor of Agricultural Sciences,Electives,AGRI1000,Agricultural Production
Bachelor of Agricultural Sciences,Electives,AGRI1002,Agricultural Systems
Bachelor of Agricultural Sciences,Electives,AGRI1003,Soils and Landscapes
Bachelor of Agricultural Sciences,Electives,AGRI2004,Soil and Water Resources 2
Bachelor of Agricultural Sciences,Electives,AGRI2006,Agricultural Biochemistry
Bachelor of Agricultural Sciences,Electives,AGRI2007,Crop and Pasture Production II
Bachelor of Agricultural Sciences,Electives,AGRI2010,Agribusiness
Bachelor of Agricultural Sciences,Electives,AGRI2013,Microbiology and Invertebrate Biology
Bachelor of Agricultural Sciences,Electives,AGRI3003,Agricultural Economics and Policy
Bachelor of Agricultural Sciences,Electives,AGRI3007,Agricultural Experimental Design and Analysis
Bachelor of Agricultural Sciences,Electives,ANIM2006,Livestock Production 2
Bachelor of Agricultural Sciences,Electives,BIOL1003,"Biology 1A: Molecules, Genes and Cells"
Bachelor of Agricultural Sciences,Electives,BIOL1004,Biology 1B: Evolution and Diversity of Organisms
Bachelor of Agricultural Sciences,Electives,BIOL2010,Agricultural Genetics
Bachelor of Agricultural Sciences,Electives,BIOL2024,Foundations in Plant Science
Bachelor of Agricultural Sciences,Electives,CHEM1000,Foundations in Chemistry
Bachelor of Agricultural Sciences,Electives,CHEM1002,Chemistry 1A
Bachelor of Agricultural Sciences,Electives,STAT1000,Data Skills for Scientists
Bachelor of Agricultural Sciences,Standard study plans,AGRI1002,Agricultural Systems
Bachelor of Agricultural Sciences,Standard study plans,BIOL1004,Biology 1B: Evolution and Diversity of Organisms
Bachelor of Agricultural Sciences,Standard study plans,CHEM1000,Foundations in Chemistry
Bachelor of Agricultural Sciences,Standard study plans,STAT1000,Data Skills for Scientists
Bachelor of Agricultural Sciences,Standard study plans,AGRI1000,Agricultural Production
Bachelor of Agricultural Sciences,Standard study plans,AGRI1003,Soils and Landscapes
Bachelor of Agricultural Sciences,Standard study plans,BIOL1003,"Biology 1A: Molecules, Genes and Cells"
Bachelor of Agricultural Sciences,Standard study plans,CHEM1002,Chemistry 1A
