degree,section,course_code,course_name
Bachelor of Clinical Exercise Physiology (Honours),Electives,HLTH4002,Clinical Studies for Exercise Physiology
Bachelor of Clinical Exercise Physiology (Honours),Electives,PSIO4002,Musculoskeletal Evaluation and Exercise Rehabilitation
Bachelor of Clinical Exercise Physiology (Honours),Electives,REHB4005,Health Science Honours Thesis
Bachelor of Clinical Exercise Physiology (Honours),Electives,REHB4009,Health Science Honours Project
Bachelor of Clinical Exercise Physiology (Honours),Electives,HLTH1051,Functional Anatomy
Bachelor of Clinical Exercise Physiology (Honours),Electives,EDUC3050,Exercise Prescription and Delivery 1
Bachelor of Clinical Exercise Physiology (Honours),Electives,NUTR2004,Human Nutrition
Bachelor of Clinical Exercise Physiology (Honours),Electives,HBIO2061,Motor Control and Learning
Bachelor of Clinical Exercise Physiology (Honours),Electives,HUMV2002,Biomechanics of Human Movement
Bachelor of Clinical Exercise Physiology (Honours),Electives,EDUC3051,Exercise Prescription and Delivery 2
Bachelor of Clinical Exercise Physiology (Honours),Electives,HLTH1056,Advanced Exercise Assessment and Reasoning
Bachelor of Clinical Exercise Physiology (Honours),Electives,BIOL1006,Human Anatomy 100
Bachelor of Clinical Exercise Physiology (Honours),Electives,BIOL1020,Physiology Essentials 100
Bachelor of Clinical Exercise Physiology (Honours),Electives,HBIO1000,Exercise Physiology 1
Bachelor of Clinical Exercise Physiology (Honours),Electives,HLTH1003,Physical Activity and Health
Bachelor of Clinical Exercise Physiology (Honours),Electives,HLTH1016,Introduction to Evidence Based Practice and Research in Health Sciences
Bachelor of Clinical Exercise Physiology (Honours),Electives,HLTH1017,"Aboriginal Health: Culture, Community and Country"
Bachelor of Clinical Exercise Physiology (Honours),Electives,HUMV1001,Motor Development and Ageing
Bachelor of Clinical Exercise Physiology (Honours),Electives,HBIO2059,Exercise Physiology 2
Bachelor of Clinical Exercise Physiology (Honours),Electives,HLTH2007,Societal Issues in Clinical Exercise Physiology
Bachelor of Clinical Exercise Physiology (Honours),Electives,HLTH3005,"Health, Exercise and Sport Psychology"
Bachelor of Clinical Exercise Physiology (Honours),Electives,HLTH3007,Practice Education in Exercise Delivery
Bachelor of Clinical Exercise Physiology (Honours),Electives,HLTH3016,Clinical Exercise Honours Project Design
Bachelor of Clinical Exercise Physiology (Honours),Electives,REHB3010,Pain Mechanisms and Management
Bachelor of Clinical Exercise Physiology (Honours),Electives,HLTH4000,Clinical Basis of Chronic Disease Management
Bachelor of Clinical Exercise Physiology (Honours),Electives,HLTH4001,Clinical Exercise Physiology
Bachelor of Clinical Exercise Physiology (Honours),Rules and notes,PSIO4903,Clinical Exercise Physiology Practicum 1
Bachelor of Clinical Exercise Physiology (Honours),Rules and notes,PSIO4904,Clinical Exercise Physiology Practicum 2
Bachelor of Clinical Exercise Physiology (Honours),Rules and notes,REHB4900,Clinical Exercise Physiology Practicum 3
Bachelor of Clinical Exercise Physiology (Honours),Program electives,HLTH1008,Human Anatomy 101
Bachelor of Clinical Exercise Physiology (Honours),Program electives,BIOL2018,Human Anatomy 200
Bachelor of Clinical Exercise Physiology (Honours),Program electives,BUSI2013,Small Business for Professionals
Bachelor of Clinical Exercise Physiology (Honours),Program electives,HLTH3003,"Nutrition, Exercise and Weight Management"
Bachelor of Clinical Exercise Physiology (Honours),Program electives,HLTH3004,Sports Nutrition
Bachelor of Clinical Exercise Physiology (Honours),Program electives,HLTH3006,Anthropometry and Body Image
Bachelor of Clinical Exercise Physiology (Honours),Program electives,HUMV3000,Sports Biomechanics
Bachelor of Clinical Exercise Physiology (Honours),Program electives,HUMV3001,Human Movement Neuroscience
Bachelor of Clinical Exercise Physiology (Honours),Program electives,PSIO3003,Applied Exercise Physiology
Bachelor of Clinical Exercise Physiology (Honours),Program electives,SOCI3003,Performance Analysis and Player Monitoring
Bachelor of Exercise and Sport Science,Electives,BIOL1006,Human Anatomy 100
Bachelor of Exercise and Sport Science,Electives,BIOL1020,Physiology Essentials 100
Bachelor of Exercise and Sport Science,Electives,EDUC3050,Exercise Prescription and Delivery 1
Bachelor of Exercise and Sport Science,Electives,EDUC3051,Exercise Prescription and Delivery 2
Bachelor of Exercise and Sport Science,Electives,HBIO1000,Exercise Physiology 1
Bachelor of Exercise and Sport Science,Electives,HBIO2059,Exercise Physiology 2
Bachelor of Exercise and Sport Science,Electives,HBIO2061,Motor Control and Learning
Bachelor of Exercise and Sport Science,Electives,HLTH1003,Physical Activity and Health
Bachelor of Exercise and Sport Science,Electives,HLTH1011,"Foundations in Human Movement, Exercise and Sports Science"
Bachelor of Exercise and Sport Science,Electives,HLTH1016,Introduction to Evidence Based Practice and Research in Health Sciences
Bachelor of Exercise and Sport Science,Electives,HLTH1051,Functional Anatomy
Bachelor of Exercise and Sport Science,Electives,HLTH3005,"Health, Exercise and Sport Psychology"
Bachelor of Exercise and Sport Science,Electives,HLTH3011,Exercise and Sport Science Project Design
Bachelor of Exercise and Sport Science,Electives,HLTH3013,"Sociology of Health, Physical Activity and Sport"
Bachelor of Exercise and Sport Science,Electives,HUMV1001,Motor Development and Ageing
Bachelor of Exercise and Sport Science,Electives,HUMV2002,Biomechanics of Human Movement
Bachelor of Exercise and Sport Science,Electives,NUTR2004,Human Nutrition
Bachelor of Exercise and Sport Science,Electives,PSIO3002,Group and Team Leadership
Bachelor of Exercise and Sport Science,Standard study plans,BIOL1006,Human Anatomy 100
Bachelor of Exercise and Sport Science,Standard study plans,HLTH1011,"Foundations in Human Movement, Exercise and Sports Science"
Bachelor of Exercise and Sport Science,Standard study plans,HLTH1003,Physical Activity and Health
Bachelor of Exercise and Sport Science,Standard study plans,BIOL1020,Physiology Essentials 100
Bachelor of Exercise and Sport Science,Standard study plans,PSIO3002,Group and Team Leadership
Bachelor of Exercise and Sport Science,Standard study plans,HLTH1051,Functional Anatomy
Bachelor of Exercise and Sport Science,Standard study plans,HLTH1016,Introduction to Evidence Based Practice and Research in Health Sciences
Bachelor of Exercise and Sport Science,Standard study plans,HUMV1001,Motor Development and Ageing
Bachelor of Exercise and Sport Science,Standard study plans,EDUC3050,Exercise Prescription and Delivery 1
Bachelor of Exercise and Sport Science,Standard study plans,HBIO1000,Exercise Physiology 1
Bachelor of Exercise and Sport Science,Standard study plans,HBIO2061,Motor Control and Learning
Bachelor of Exercise and Sport Science,Standard study plans,NUTR2004,Human Nutrition
Bachelor of Exercise and Sport Science,Standard study plans,EDUC3051,Exercise Prescription and Delivery 2
Bachelor of Exercise and Sport Science,Standard study plans,HBIO2059,Exercise Physiology 2
Bachelor of Exercise and Sport Science,Standard study plans,HLTH3005,"Health, Exercise and Sport Psychology"
Bachelor of Exercise and Sport Science,Standard study plans,HUMV2002,Biomechanics of Human Movement
Bachelor of Exercise and Sport Science,Standard study plans,HLTH3012,Professional Practice in Exercise Science
Bachelor of Exercise and Sport Science,Standard study plans,HLTH3011,Exercise and Sport Science Project Design
Bachelor of Exercise and Sport Science,Standard study plans,-,Elective
Bachelor of Exercise and Sport Science,Standard study plans,-,Elective
Bachelor of Exercise and Sport Science,Standard study plans,HLTH3013,"Sociology of Health, Physical Activity and Sport"
Bachelor of Exercise and Sport Science,Standard study plans,-,Elective
Bachelor of Exercise and Sport Science,Standard study plans,-,Elective
Bachelor of Exercise and Sport Science,Standard study plans,-,Elective
Bachelor of Exercise and Sport Science,Standard study plans,HLTH3012,Professional Practice in Exercise Science
Bachelor of Exercise and Sport Science,Standard study plans,BIOL1006,Human Anatomy 100
Bachelor of Exercise and Sport Science,Standard study plans,HLTH1011,"Foundations in Human Movement, Exercise and Sports Science"
Bachelor of Exercise and Sport Science,Standard study plans,HLTH1003,Physical Activity and Health
Bachelor of Exercise and Sport Science,Standard study plans,BIOL1020,Physiology Essentials 100
Bachelor of Exercise and Sport Science,Standard study plans,PSIO3002,Group and Team Leadership
Bachelor of Exercise and Sport Science,Standard study plans,HLTH1051,Functional Anatomy
Bachelor of Exercise and Sport Science,Standard study plans,HLTH1016,Introduction to Evidence Based Practice and Research in Health Sciences
Bachelor of Exercise and Sport Science,Standard study plans,HUMV1001,Motor Development and Ageing
Bachelor of Exercise and Sport Science,Standard study plans,EDUC3050,Exercise Prescription and Delivery 1
Bachelor of Exercise and Sport Science,Standard study plans,HBIO1000,Exercise Physiology 1
Bachelor of Exercise and Sport Science,Standard study plans,HBIO2061,Motor Control and Learning
Bachelor of Exercise and Sport Science,Standard study plans,NUTR2004,Human Nutrition
Bachelor of Exercise and Sport Science,Standard study plans,EDUC3051,Exercise Prescription and Delivery 2
Bachelor of Exercise and Sport Science,Standard study plans,HBIO2059,Exercise Physiology 2
Bachelor of Exercise and Sport Science,Standard study plans,HLTH3005,"Health, Exercise and Sport Psychology"
Bachelor of Exercise and Sport Science,Standard study plans,HUMV2002,Biomechanics of Human Movement
Bachelor of Exercise and Sport Science,Standard study plans,HLTH3012,Professional Practice in Exercise Science
Bachelor of Exercise and Sport Science,Standard study plans,HLTH3011,Exercise and Sport Science Project Design
Bachelor of Exercise and Sport Science,Standard study plans,-,Elective
Bachelor of Exercise and Sport Science,Standard study plans,-,Elective
Bachelor of Exercise and Sport Science,Standard study plans,HLTH3013,"Sociology of Health, Physical Activity and Sport"
Bachelor of Exercise and Sport Science,Standard study plans,-,Elective
Bachelor of Exercise and Sport Science,Standard study plans,-,Elective
Bachelor of Exercise and Sport Science,Standard study plans,-,Elective
Bachelor of Exercise and Sport Science,Program electives - Advanced Exercise and Sport Science,SOCI3003,Performance Analysis and Player Monitoring
Bachelor of Exercise and Sport Science,Program electives - Advanced Exercise and Sport Science,HLTH1056,Advanced Exercise Assessment and Reasoning
Bachelor of Exercise and Sport Science,Program electives - Advanced Exercise and Sport Science,HLTH3006,Anthropometry and Body Image
Bachelor of Exercise and Sport Science,Program electives - Advanced Exercise and Sport Science,HUMV3000,Sports Biomechanics
Bachelor of Exercise and Sport Science,Program electives - Advanced Exercise and Sport Science,HUMV3001,Human Movement Neuroscience
Bachelor of Exercise and Sport Science,Program electives - Advanced Exercise and Sport Science,HUMV3006,"UO Adapted Physical Activity, Exercise and Sport"
Bachelor of Exercise and Sport Science,Program electives - Advanced Exercise and Sport Science,PSIO3003,Applied Exercise Physiology
Bachelor of Exercise and Sport Science,Program electives - Health and Physical Education,HLTH1004,Fitness and Lifestyle Management
Bachelor of Exercise and Sport Science,Program electives - Health and Physical Education,HLTH1007,Principles of Teaching and Coaching
Bachelor of Exercise and Sport Science,Program electives - Health and Physical Education,HLTH2004,Health Risks and Relationship Education
Bachelor of Exercise and Sport Science,Program electives - Health and Physical Education,EDUC3021,Dance as Education and Recreation
Bachelor of Exercise and Sport Science,Program electives - Health and Physical Education,EDUC3022,"Game, Sports Theory, Practice and Participation"
Bachelor of Exercise and Sport Science,Program electives - Health and Physical Education,SPOR2005,Foundations of Outdoor Leadership
Bachelor of Exercise and Sport Science,Program electives - Health Promotion,HLTH1010,Introduction to Public Health
Bachelor of Exercise and Sport Science,Program electives - Health Promotion,HLTH1012,Health Systems and Services
Bachelor of Exercise and Sport Science,Program electives - Health Promotion,HLTH1013,Health Promotion Concepts
Bachelor of Exercise and Sport Science,Program electives - Health Promotion,HLTH2005,Designing and Managing Health Projects
Bachelor of Exercise and Sport Science,Program electives - Health Promotion,HLTH3008,Public Health and Wellbeing Practice
Bachelor of Exercise and Sport Science,Program electives - Nutrition,CHEM1005,Chemistry 100
Bachelor of Exercise and Sport Science,Program electives - Nutrition,BIOL2032,Physiology
Bachelor of Exercise and Sport Science,Program electives - Nutrition,HLTH3003,"Nutrition, Exercise and Weight Management"
Bachelor of Exercise and Sport Science,Program electives - Nutrition,HLTH3004,Sports Nutrition
Bachelor of Exercise and Sport Science,Program electives - Outdoor Education,INDG1003,"Aboriginal Health, Culture, Community, and Country"
Bachelor of Exercise and Sport Science,Program electives - Outdoor Education,HLTH3009,Leadership in Terrestrial Environments
Bachelor of Exercise and Sport Science,Program electives - Outdoor Education,HLTH3010,"Outdoor, Wilderness and Adventure Education"
Bachelor of Exercise and Sport Science,Program electives - Outdoor Education,SPOR2005,Foundations of Outdoor Leadership
Bachelor of Exercise and Sport Science,Program electives - Outdoor Education,SPOR3006,Leadership in Aquatic Environments
Bachelor of Exercise and Sport Science,Program electives - Outdoor Education,SPOR3009,Professional Practice in Outdoor Leadership
Bachelor of Exercise and Sport Science,Program electives - Rehabilitation Sciences,HLTH1008,Human Anatomy 101
Bachelor of Exercise and Sport Science,Program electives - Rehabilitation Sciences,HLTH1056,Advanced Exercise Assessment and Reasoning
Bachelor of Exercise and Sport Science,Program electives - Rehabilitation Sciences,BIOL2018,Human Anatomy 200
