degree,section,course_code,course_name
Bachelor of Architectural Design,Common core,COREX001,An Ethically Rich Life
Bachelor of Architectural Design,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Architectural Design,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Architectural Design,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Architectural Design,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Architectural Design,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Architectural Design,Program core,ARCH1000,Design Studio (Principles)
Bachelor of Architectural Design,Program core,ARCH1002,Design Communication (Principles)
Bachelor of Architectural Design,Program core,ARCH1003,Design Construction (Principles)
Bachelor of Architectural Design,Program core,ARCH1004,Architectural Design Studio (Home)
Bachelor of Architectural Design,Program core,ARCH1005,Architectural Design Cultures
Bachelor of Architectural Design,Program core,ARCH1006,Environmental Design and the Sensory Body
Bachelor of Architectural Design,Program core,ARCH2004,Architectural Design Studio (Urban Landscapes)
Bachelor of Architectural Design,Program core,ARCH2007,Digital Design Communications
Bachelor of Architectural Design,Program core,ARCH2011,Architectural Design Studio (Communication)
Bachelor of Architectural Design,Program core,ARCH2000,Contemporary Architectural Theory
Bachelor of Architectural Design,Standard study plans,ARCH1000,Design Studio (Principles)
Bachelor of Architectural Design,Standard study plans,ARCH1002,Design Communication (Principles)
Bachelor of Architectural Design,Standard study plans,ARCH1003,Design Construction (Principles)
Bachelor of Architectural Design,Standard study plans,-,Core course
Bachelor of Architectural Design,Standard study plans,ARCH1004,Architectural Design Studio (Home)
Bachelor of Architectural Design,Standard study plans,ARCH1005,Architectural Design Cultures
Bachelor of Architectural Design,Standard study plans,ARCH1006,Environmental Design and the Sensory Body
Bachelor of Architectural Design,Standard study plans,-,Elective
Bachelor of Architectural Design,Standard study plans,ARCH2004,Architectural Design Studio (Urban Landscapes)
Bachelor of Architectural Design,Standard study plans,ARCH2007,Digital Design Communications
Bachelor of Architectural Design,Standard study plans,-,Core course
Bachelor of Architectural Design,Standard study plans,ARCH2011,Architectural Design Studio (Communication)
Bachelor of Architectural Design,Standard study plans,ARCH2000,Contemporary Architectural Theory
Bachelor of Architectural Design,Standard study plans,-,Elective
Bachelor of Architectural Design,Standard study plans,ARCH3001,Architectural Design Studio (Tectonics)
Bachelor of Architectural Design,Standard study plans,ARCH3003,Multi-storey Technologies
Bachelor of Architectural Design,Standard study plans,-,Core course
Bachelor of Architectural Design,Standard study plans,ARCH3013,Architectural Design Studio (Context and Cultures)
Bachelor of Architectural Design,Standard study plans,ARCH3014,Environmental Ecologies and Systems in Architecture
Bachelor of Architectural Design,Standard study plans,-,Elective
Bachelor of Architectural Design,Standard study plans,ARCH3001,Architectural Design Studio (Tectonics)
Bachelor of Architectural Design,Standard study plans,ARCH3003,Multi-storey Technologies
Bachelor of Architectural Design,Standard study plans,ARCH3013,Architectural Design Studio (Context and Cultures)
Bachelor of Architectural Design,Standard study plans,ARCH3014,Environmental Ecologies and Systems in Architecture
Bachelor of Architectural Design,Standard study plans,ARCH1000,Design Studio (Principles)
Bachelor of Architectural Design,Standard study plans,ARCH1002,Design Communication (Principles)
Bachelor of Architectural Design,Standard study plans,ARCH1003,Design Construction (Principles)
Bachelor of Architectural Design,Standard study plans,-,Core course
Bachelor of Architectural Design,Standard study plans,ARCH1004,Architectural Design Studio (Home)
Bachelor of Architectural Design,Standard study plans,ARCH1005,Architectural Design Cultures
Bachelor of Architectural Design,Standard study plans,ARCH1006,Environmental Design and the Sensory Body
Bachelor of Architectural Design,Standard study plans,-,Elective
Bachelor of Architectural Design,Standard study plans,ARCH2004,Architectural Design Studio (Urban Landscapes)
Bachelor of Architectural Design,Standard study plans,ARCH2007,Digital Design Communications
Bachelor of Architectural Design,Standard study plans,-,Core course
Bachelor of Architectural Design,Standard study plans,ARCH2011,Architectural Design Studio (Communication)
Bachelor of Architectural Design,Standard study plans,ARCH2000,Contemporary Architectural Theory
Bachelor of Architectural Design,Standard study plans,-,Elective
Bachelor of Architectural Design,Standard study plans,ARCH3001,Architectural Design Studio (Tectonics)
Bachelor of Architectural Design,Standard study plans,ARCH3003,Multi-storey Technologies
Bachelor of Architectural Design,Standard study plans,-,Core course
Bachelor of Architectural Design,Standard study plans,ARCH3013,Architectural Design Studio (Context and Cultures)
Bachelor of Architectural Design,Standard study plans,ARCH3014,Environmental Ecologies and Systems in Architecture
Bachelor of Architectural Design,Standard study plans,-,Elective
Bachelor of Architectural Design,Standard study plans,ARCH1000,Design Studio (Principles)
Bachelor of Architectural Design,Standard study plans,ARCH1002,Design Communication (Principles)
Bachelor of Architectural Design,Standard study plans,ARCH1003,Design Construction (Principles)
Bachelor of Architectural Design,Standard study plans,-,Core course
Bachelor of Architectural Design,Standard study plans,ARCH1004,Architectural Design Studio (Home)
Bachelor of Architectural Design,Standard study plans,ARCH1005,Architectural Design Cultures
Bachelor of Architectural Design,Standard study plans,ARCH1006,Environmental Design and the Sensory Body
Bachelor of Architectural Design,Standard study plans,-,Elective
Bachelor of Architectural Design,Standard study plans,ARCH2004,Architectural Design Studio (Urban Landscapes)
Bachelor of Architectural Design,Standard study plans,ARCH2007,Digital Design Communications
Bachelor of Architectural Design,Standard study plans,-,Core course
Bachelor of Architectural Design,Standard study plans,ARCH2011,Architectural Design Studio (Communication)
