degree,section,course_code,course_name
Bachelor of Aviation majoring in Management,Standard study plans,AERO1009,Human Performance and Limitations in Aviation
Bachelor of Aviation majoring in Management,Standard study plans,LAWS1017,Aviation Law
Bachelor of Aviation majoring in Management,Standard study plans,AERO1000,Introduction to Aviation
Bachelor of Aviation majoring in Management,Standard study plans,-,Elective
Bachelor of Aviation majoring in Management,Standard study plans,AERO1004,Introduction to Aviation Management
Bachelor of Aviation majoring in Management,Standard study plans,AERO1010,Aviation Safety Fundamentals
Bachelor of Aviation majoring in Management,Standard study plans,AERO1006,Flight Training Theory 1
Bachelor of Aviation majoring in Management,Standard study plans,-,Core course
Bachelor of Aviation majoring in Management,Standard study plans,AERO2002,"Humans in Aviation: People, Systems and Safety"
Bachelor of Aviation majoring in Management,Standard study plans,ECON1012,Data Analytics
Bachelor of Aviation majoring in Management,Standard study plans,AERO2001,Foundations of Airline Finance
Bachelor of Aviation majoring in Management,Standard study plans,-,Core course
Bachelor of Aviation majoring in Management,Standard study plans,BUSI1300,Principles of Logistics and Supply Chain Management
Bachelor of Aviation majoring in Management,Standard study plans,AERO2003,Aviation Economics
Bachelor of Aviation majoring in Management,Standard study plans,AERO2004,Airline Operations Management
Bachelor of Aviation majoring in Management,Standard study plans,PROJX500,Project Management Fundamentals
Bachelor of Aviation majoring in Management,Standard study plans,-,Elective
Bachelor of Aviation majoring in Management,Standard study plans,AERO3001,Safety and Risk Management for Aviation Professionals
Bachelor of Aviation majoring in Management,Standard study plans,AERO3003,Airport Management
Bachelor of Aviation majoring in Management,Standard study plans,-,Core course
Bachelor of Aviation majoring in Management,Standard study plans,AERO3002,Aviation Project 1
Bachelor of Aviation majoring in Management,Standard study plans,AERO3004,Aviation Project 2
Bachelor of Aviation majoring in Management,Standard study plans,AERO3006,Aviation Strategic Management
Bachelor of Aviation majoring in Management,Standard study plans,-,Elective
Bachelor of Aviation majoring in Management,Standard study plans,AERO2001,Foundations of Airline Finance
Bachelor of Aviation majoring in Management,Standard study plans,AERO2003,Aviation Economics
Bachelor of Aviation majoring in Management,Standard study plans,AERO2004,Airline Operations Management
Bachelor of Aviation majoring in Management,Standard study plans,BUSI1300,Principles of Logistics and Supply Chain Management
Bachelor of Aviation majoring in Management,Standard study plans,PROJX500,Project Management Fundamentals
Bachelor of Aviation majoring in Management,Standard study plans,AERO3001,Safety and Risk Management for Aviation Professionals
Bachelor of Aviation majoring in Management,Standard study plans,AERO3003,Airport Management
Bachelor of Aviation majoring in Management,Standard study plans,AERO3006,Aviation Strategic Management
Bachelor of Aviation majoring in Management,Standard study plans,AERO1009,Human Performance and Limitations in Aviation
Bachelor of Aviation majoring in Management,Standard study plans,LAWS1017,Aviation Law
Bachelor of Aviation majoring in Management,Standard study plans,AERO1000,Introduction to Aviation
Bachelor of Aviation majoring in Management,Standard study plans,-,Elective
Bachelor of Aviation majoring in Management,Standard study plans,AERO1004,Introduction to Aviation Management
Bachelor of Aviation majoring in Management,Standard study plans,AERO1010,Aviation Safety Fundamentals
Bachelor of Aviation majoring in Management,Standard study plans,AERO1006,Flight Training Theory 1
Bachelor of Aviation majoring in Management,Standard study plans,-,Core course
Bachelor of Aviation majoring in Management,Standard study plans,AERO2002,"Humans in Aviation: People, Systems and Safety"
Bachelor of Aviation majoring in Management,Standard study plans,ECON1012,Data Analytics
Bachelor of Aviation majoring in Management,Standard study plans,AERO2001,Foundations of Airline Finance
Bachelor of Aviation majoring in Management,Standard study plans,-,Core course
Bachelor of Aviation majoring in Management,Standard study plans,BUSI1300,Principles of Logistics and Supply Chain Management
Bachelor of Aviation majoring in Management,Standard study plans,AERO2003,Aviation Economics
Bachelor of Aviation majoring in Management,Standard study plans,AERO2004,Airline Operations Management
Bachelor of Aviation majoring in Management,Standard study plans,PROJX500,Project Management Fundamentals
Bachelor of Aviation majoring in Management,Standard study plans,-,Elective
Bachelor of Aviation majoring in Management,Standard study plans,AERO3001,Safety and Risk Management for Aviation Professionals
Bachelor of Aviation majoring in Management,Standard study plans,AERO3003,Airport Management
Bachelor of Aviation majoring in Management,Standard study plans,-,Core course
Bachelor of Aviation majoring in Management,Standard study plans,AERO3002,Aviation Project 1
Bachelor of Aviation majoring in Management,Standard study plans,AERO3004,Aviation Project 2
Bachelor of Aviation majoring in Management,Standard study plans,AERO3006,Aviation Strategic Management
Bachelor of Aviation majoring in Management,Standard study plans,-,Elective
Bachelor of Aviation majoring in Management,Standard study plans,AERO3002,Aviation Project 1
Bachelor of Aviation majoring in Management,Standard study plans,AERO3004,Aviation Project 2
Bachelor of Aviation majoring in Management,Standard study plans,AERO3901,Aviation Internship
Bachelor of Aviation majoring in Management,Standard study plans,AERO1009,Human Performance and Limitations in Aviation
Bachelor of Aviation majoring in Management,Standard study plans,LAWS1017,Aviation Law
Bachelor of Aviation majoring in Management,Standard study plans,AERO1000,Introduction to Aviation
Bachelor of Aviation majoring in Management,Standard study plans,-,Elective
Bachelor of Aviation majoring in Management,Standard study plans,AERO1004,Introduction to Aviation Management
Bachelor of Aviation majoring in Management,Standard study plans,AERO1010,Aviation Safety Fundamentals
Bachelor of Aviation majoring in Management,Standard study plans,AERO1006,Flight Training Theory 1
Bachelor of Aviation majoring in Management,Standard study plans,-,Core course
Bachelor of Aviation majoring in Management,Standard study plans,AERO2002,"Humans in Aviation: People, Systems and Safety"
Bachelor of Aviation majoring in Management,Standard study plans,ECON1012,Data Analytics
Bachelor of Aviation majoring in Management,Standard study plans,AERO2001,Foundations of Airline Finance
Bachelor of Aviation majoring in Management,Standard study plans,-,Core course
Bachelor of Aviation majoring in Management,Standard study plans,BUSI1300,Principles of Logistics and Supply Chain Management
Bachelor of Aviation majoring in Management,Standard study plans,AERO2003,Aviation Economics
Bachelor of Aviation majoring in Management,Standard study plans,AERO2004,Airline Operations Management
Bachelor of Aviation majoring in Management,Standard study plans,PROJX500,Project Management Fundamentals
Bachelor of Aviation majoring in Management,Standard study plans,-,Elective
Bachelor of Aviation majoring in Management,Standard study plans,AERO3001,Safety and Risk Management for Aviation Professionals
Bachelor of Aviation majoring in Management,Standard study plans,AERO3003,Airport Management
Bachelor of Aviation majoring in Management,Standard study plans,-,Core course
Bachelor of Aviation majoring in Management,Standard study plans,AERO3002,Aviation Project 1
