degree,section,course_code,course_name
Bachelor of Arts majoring in Creative Writing,Common core,COREX001,An Ethically Rich Life
Bachelor of Arts majoring in Creative Writing,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Arts majoring in Creative Writing,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Arts majoring in Creative Writing,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Arts majoring in Creative Writing,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Arts majoring in Creative Writing,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Arts majoring in Creative Writing,Common core,WRIT1000,"Creative Writing Essentials 1: Prose, Poetry, Performance"
Bachelor of Arts majoring in Creative Writing,Common core,WRIT1001,Writing Life: From Concept to Practice
Bachelor of Arts majoring in Creative Writing,Common core,WRIT2000,"Creative Writing Essentials 2: Narrative Theories, Forms and Approaches to Practice"
Bachelor of Arts majoring in Creative Writing,Common core,WRIT2001,Fiction: Theory and Practice
Bachelor of Arts majoring in Creative Writing,Common core,MDIA2016,Screenwriting: Theory and Practice
Bachelor of Arts majoring in Creative Writing,Common core,WRIT3000,Creative Nonfiction: Theory and Practice
Bachelor of Arts majoring in Creative Writing,Common core,WRIT3001,Experimental Forms: Theory and Practice
Bachelor of Arts majoring in Creative Writing,Common core,WRIT3004,Creative Writing Essentials 3: The Writer as Researcher
Bachelor of Arts majoring in Creative Writing,Common core,WRIT3005,Poetry: Theory and Practice
Bachelor of Arts majoring in Creative Writing,Common core,SOCI1007,Professional Pathways and Destinations 1
Bachelor of Arts majoring in Creative Writing,Common core,SOCI2019,Professional Pathways and Destinations 2
Bachelor of Arts majoring in Creative Writing,Common core,SOCI3903,Internship: Society and Culture
Bachelor of Arts majoring in Creative Writing,Common core,AUXX1011,Elective 1
Bachelor of Arts majoring in Creative Writing,Common core,AUXX1012,Elective 2
Bachelor of Arts majoring in Creative Writing,Common core,ABORBARTS,Aboriginal Studies
Bachelor of Arts majoring in Creative Writing,Common core,ANTHBARTS,Anthropology
Bachelor of Arts majoring in Creative Writing,Common core,ARCYBARTS,Archaeology and Classical Studies
Bachelor of Arts majoring in Creative Writing,Common core,ARTHBARTS,Art History and Visual Culture
Bachelor of Arts majoring in Creative Writing,Common core,ENGLBARTS,English Literature
Bachelor of Arts majoring in Creative Writing,Common core,ENVMBARTS,Environmental Management
Bachelor of Arts majoring in Creative Writing,Common core,FRENBARTS,French Studies
Bachelor of Arts majoring in Creative Writing,Common core,GEOGBARTS,Geography
Bachelor of Arts majoring in Creative Writing,Common core,GERMBARTS,German Studies
Bachelor of Arts majoring in Creative Writing,Common core,CHINBARTS,Chinese Studies
Bachelor of Arts majoring in Creative Writing,Common core,CULTBARTS,Cultural Studies
Bachelor of Arts majoring in Creative Writing,Common core,GENDBARTS,Gender and Sexuality Studies
Bachelor of Arts majoring in Creative Writing,Common core,HISTBARTS,History
Bachelor of Arts majoring in Creative Writing,Common core,INTDBARTS,International Development
Bachelor of Arts majoring in Creative Writing,Common core,INTSBARTS,International Security
Bachelor of Arts majoring in Creative Writing,Common core,ITALBARTS,Italian Studies
Bachelor of Arts majoring in Creative Writing,Common core,JAPNBARTS,Japanese Studies
Bachelor of Arts majoring in Creative Writing,Common core,LINGBARTS,Linguistics and Applied Linguistics
Bachelor of Arts majoring in Creative Writing,Common core,PHILBARTS,Philosophy
Bachelor of Arts majoring in Creative Writing,Common core,POLIBARTS,Politics
Bachelor of Arts majoring in Creative Writing,Common core,POPUBARTS,Population and Migration Studies
Bachelor of Arts majoring in Creative Writing,Common core,SCRNBARTS,Screen Studies
Bachelor of Arts majoring in Creative Writing,Common core,SOCIBARTS,Sociology
Bachelor of Arts majoring in Creative Writing,Common core,SPANBARTS,Spanish Studies
Bachelor of Arts majoring in Creative Writing,Common core,SOCRBARTS,Social Research and Policy Analysis
Bachelor of Arts majoring in Creative Writing,Common core,KAURBARTS,Kaurna Languages
Bachelor of Arts majoring in English Literature,Common core,COREX001,An Ethically Rich Life
Bachelor of Arts majoring in English Literature,Common core,COREX002,Fact or Fiction: Data for Everyone
