degree_name,course_code,course_name,stream_clean
Bachelor of Accounting,ACCT1005,UO Accounting for Business,Program Core
Bachelor of Accounting,ACCT1006,UO Financial Accounting 1,Program Core
Bachelor of Accounting,BUSI1030,UO Career Development in Business,Program Core
Bachelor of Accounting,ECON1010,UO Principles of Economics,Program Core
Bachelor of Accounting,LAWS1018,UO Business Law,Program Core
Bachelor of Accounting,MARK1013,UO Marketing Principles: Trading and Exchange,Program Core
Bachelor of Accounting,MATH1028,UO Quantitative Methods for Business,Program Core
Bachelor of Accounting,ACCT2003,UO Financial Accounting 2,Program Core
Bachelor of Accounting,ACCT2004,UO Management Accounting,Program Core
Bachelor of Accounting,BAFI2025,UO Business Finance,Program Core
Bachelor of Accounting,BUSI2019,UO Management and Organisation,Program Core
Bachelor of Accounting,INFO2022,UO Business Intelligence,Program Core
Bachelor of Accounting,LAWS2012,UO Companies and Partnership Law,Program Core
Bachelor of Accounting,ACCT3003,UO Auditing Theory and Practice,Program Core
Bachelor of Accounting,ACCT3004,UO Contemporary Issues in Accounting,Program Core
Bachelor of Accounting,ACCT3005,UO Financial Accounting 3,Program Core
Bachelor of Accounting,ACCT3006,UO Sustainability Accounting and Reporting,Program Core
Bachelor of Accounting,BUSI3034,UO Strategic Financial Analysis,Program Core
Bachelor of Accounting,LAWS3007,UO Taxation Law 1,Program Core
Bachelor of Business,ACCT1000,Accounting for Decision Makers,Program Core
Bachelor of Business,BUSI1002,"Management, Organisations and Leadership",Program Core
Bachelor of Business,BUSI2001,"Emerging Technologies, Data and Business Analytics",Program Core
Bachelor of Business,MARK1000,Marketing Principles,Program Core
Bachelor of Business,BUSI1001,Business Law,Program Core
Bachelor of Business,BUSI2002,"Negotiation, Conflict Management and Resolution",Program Core
Bachelor of Business,BUSI3013,Strategic Management,Program Core
Bachelor of Business,ECON1000,Principles of Economics,Program Core
Bachelor of Business,MDIA2021,Research Methods in Media and Communication,Program Core
Bachelor of Business,MDIA2022,"Media Law, Policy and Ethics",Program Core
Bachelor of Business,MDIA2102,Promotional Culture,Program Core
Bachelor of Business,MDIA3017,Strategic Planning for Media and Communication,Program Core
Bachelor of Business,GRAP1004,Digital Design Principles and Methods,Program Core
Bachelor of Business,PROJ1000,Foundations of Project Management,Program Core
Bachelor of Business,PROJ1001,Scheduling and Cost Management,Program Core
Bachelor of Business,PROJ3006,Project Logistics and Supply Chains,Program Core
"Bachelor of Business (Economics, Finance and Trade)",ACCT1005,UO Accounting for Business,Program Core
"Bachelor of Business (Economics, Finance and Trade)",BUSI1030,UO Career Development in Business,Program Core
"Bachelor of Business (Economics, Finance and Trade)",ECON1010,UO Principles of Economics,Program Core
"Bachelor of Business (Economics, Finance and Trade)",ECON1011,UO Macroeconomics,Program Core
"Bachelor of Business (Economics, Finance and Trade)",LAWS1018,UO Business Law,Program Core
"Bachelor of Business (Economics, Finance and Trade)",MARK1013,UO Marketing Principles: Trading and Exchange,Program Core
"Bachelor of Business (Economics, Finance and Trade)",MATH1028,UO Quantitative Methods for Business,Program Core
"Bachelor of Business (Economics, Finance and Trade)",BAFI2025,UO Business Finance,Program Core
"Bachelor of Business (Economics, Finance and Trade)",BUSI2019,UO Management and Organisation,Program Core
"Bachelor of Business (Economics, Finance and Trade)",BUSI2021,UO Entrepreneurship for Social and Market Impact,Program Core
"Bachelor of Business (Economics, Finance and Trade)",ECON2007,UO Economic Analysis of Business Decisions,Program Core
"Bachelor of Business (Economics, Finance and Trade)",ECON2008,UO Empirical Business Analysis,Program Core
"Bachelor of Business (Economics, Finance and Trade)",ECON2009,UO Growth Development and the Macroeconomy,Program Core
"Bachelor of Business (Economics, Finance and Trade)",BAFI3010,UO Portfolio and Fund Management,Program Core
"Bachelor of Business (Economics, Finance and Trade)",BAFI3013,UO International Currency and Banking Markets,Program Core
"Bachelor of Business (Economics, Finance and Trade)",BUSI3034,UO Strategic Financial Analysis,Program Core
"Bachelor of Business (Economics, Finance and Trade)",ECON3007,UO Economics of Public Policy,Program Core
"Bachelor of Business (Economics, Finance and Trade)",ECON3008,UO International Economics,Program Core
"Bachelor of Business (Economics, Finance and Trade)",IBUS3008,UO International Business Environments,Program Core
Bachelor of Business (Financial Planning),ACCT1005,UO Accounting for Business,Core Selectives
Bachelor of Business (Financial Planning),BAFI1003,UO Financial Markets and Institutions,Core Selectives
Bachelor of Business (Financial Planning),BAFI1004,UO Personal Finance,Core Selectives
Bachelor of Business (Financial Planning),BAFI2016,UO Introduction to Financial Planning,Core Selectives
Bachelor of Business (Financial Planning),BAFI3008,UO Applied Financial Planning,Core Selectives
Bachelor of Business (Financial Planning),BAFI3009,UO Estate Planning,Core Selectives
Bachelor of Business (Financial Planning),BAFI3010,UO Portfolio and Fund Management,Core Selectives
Bachelor of Business (Financial Planning),BAFI3011,UO Risk Management and Insurance,Core Selectives
Bachelor of Business (Financial Planning),BAFI3012,UO Superannuation,Core Selectives
Bachelor of Business (Financial Planning),BUSI1030,UO Career Development in Business,Core Selectives
Bachelor of Business (Financial Planning),BUSI2019,UO Management and Organisation,Core Selectives
Bachelor of Business (Financial Planning),BUSI2021,UO Entrepreneurship for Social and Market Impact,Core Selectives
Bachelor of Business (Financial Planning),ECON1010,UO Principles of Economics,Core Selectives
Bachelor of Business (Financial Planning),ECON1011,UO Macroeconomics,Core Selectives
Bachelor of Business (Financial Planning),IBUS3008,UO International Business Environments,Core Selectives
Bachelor of Business (Financial Planning),INFO2022,UO Business Intelligence,Core Selectives
Bachelor of Business (Financial Planning),LAWS1018,UO Business Law,Core Selectives
Bachelor of Business (Financial Planning),LAWS2012,UO Companies and Partnership Law,Core Selectives
Bachelor of Business (Financial Planning),LAWS3007,UO Taxation Law 1,Core Selectives
Bachelor of Business (Financial Planning),MARK1013,UO Marketing Principles: Trading and Exchange,Core Selectives
Bachelor of Business (Financial Planning),MATH1028,UO Quantitative Methods for Business,Core Selectives
Bachelor of Business (Management),BUSI1030,UO Career Development in Business,Core Selectives
Bachelor of Business (Management),BUSI2017,UO Organisational Behaviour,Core Selectives
Bachelor of Business (Management),BUSI2019,UO Management and Organisation,Core Selectives
Bachelor of Business (Management),BUSI2020,UO Project Management: Principles and Strategies,Core Selectives
Bachelor of Business (Management),BUSI2021,UO Entrepreneurship for Social and Market Impact,Core Selectives
Bachelor of Business (Management),BUSI3030,UO International Management Ethics and Values,Core Selectives
Bachelor of Business (Management),BUSI3031,UO Managing Decision Making,Core Selectives
