degree_a,degree_b,shared_count,shared_courses
Bachelor of Business majoring in Management,Bachelor of Business majoring in Marketing,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Digital Business,Bachelor of Business majoring in Project Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in International Business,Bachelor of Business majoring in Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Business majoring in Project Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Digital Business,Bachelor of Business majoring in Human Resource Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Digital Business,"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Digital Business,Bachelor of Business majoring in International Business,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Digital Business,Bachelor of Business majoring in Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Digital Business,Bachelor of Business majoring in Marketing,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Digital Business,Bachelor of Business majoring in Marketing and Design,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Digital Business,Bachelor of Business majoring in Procurement and Supply Chain Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Business majoring in Procurement and Supply Chain Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in International Business,Bachelor of Business majoring in Marketing and Design,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Business majoring in Marketing and Design,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Business majoring in Marketing,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Business majoring in Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Business majoring in International Business,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Human Resource Management,Bachelor of Business majoring in Project Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Human Resource Management,Bachelor of Business majoring in Procurement and Supply Chain Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Human Resource Management,Bachelor of Business majoring in Marketing and Design,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Human Resource Management,Bachelor of Business majoring in Marketing,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Human Resource Management,"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in International Business,Bachelor of Business majoring in Marketing,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in International Business,Bachelor of Business majoring in Procurement and Supply Chain Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Human Resource Management,Bachelor of Business majoring in Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business,Bachelor of Business majoring in Procurement and Supply Chain Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
Bachelor of Business majoring in Procurement and Supply Chain Management,Bachelor of Business majoring in Project Management,16,"ACCT1000, BUSI1001, BUSI1002, BUSI2001, BUSI2002, BUSI3013, ECON1000, GRAP1004, MARK1000, MDIA2021, MDIA2022, MDIA2102, MDIA3017, PROJ1000, PROJ1001, PROJ3006"
