degree,section,course_code,course_name
Bachelor of Engineering (Chemical) (Honours),Core courses,COMP1006,Engineering Programming
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGI1001,Engineering Design and Prototyping
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGI1002,Engineering Materials
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGI1003,Engineering Physics
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGI1004,Engineering Modelling 1
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGI1005,Professional Engineering Practice
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGP1000,Process Engineering
Bachelor of Engineering (Chemical) (Honours),Core courses,MATH1016,Engineering Mathematics
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGI2001,Engineering Modelling 2
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGI2003,Engineering Project Management
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGP2001,Fluid and Particle Mechanics
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGP2002,Heat and Mass Transfer
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGP2003,Process Thermodynamics
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGP2004,Engineering Chemistry
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGP2005,Process Systems Design
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGI3006,Systems Engineering and Professional Practice
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGP3003,Chemical Engineering Laboratory and Data Analysis
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGP4000,Advanced Chemical Engineering
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGP4001,Plant Design Project A
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGP4002,Plant Design Project B
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGPX300,Plant Equipment Design
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGPX301,Process Dynamics and Control
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGPX302,Reaction Engineering
Bachelor of Engineering (Chemical) (Honours),Core courses,ENGPX303,Separation Process Engineering
Bachelor of Engineering (Chemical) (Honours),Standard study plans,ENGI1005,Professional Engineering Practice
Bachelor of Engineering (Chemical) (Honours),Standard study plans,MATH1016,Engineering Mathematics
Bachelor of Engineering (Chemical) (Honours),Standard study plans,COMP1006,Engineering Programming
Bachelor of Engineering (Chemical) (Honours),Standard study plans,ENGP2004,Engineering Chemistry
