degree,section,course_code,course_name
Bachelor of Biomedical and Health Sciences,Common core,COREX001,An Ethically Rich Life
Bachelor of Biomedical and Health Sciences,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Biomedical and Health Sciences,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Biomedical and Health Sciences,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Biomedical and Health Sciences,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Biomedical and Health Sciences,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Biomedical and Health Sciences,Program core,HLTH1002,Introduction to Health Research
Bachelor of Biomedical and Health Sciences,Program core,HBIO1002,Human Anatomy and Physiology A
Bachelor of Biomedical and Health Sciences,Program core,HBIO1003,Human Anatomy and Physiology B
Bachelor of Biomedical and Health Sciences,Program core,MEDI3003,Development of Health Research Skills
Bachelor of Biomedical and Health Sciences,Rules and notes,HLTH3900,WIL in Biomedical and Health Sciences
Bachelor of Biomedical and Health Sciences,Program electives,BIOL1003,"Biology 1A: Molecules, Genes and Cells"
Bachelor of Biomedical and Health Sciences,Program electives,BIOL2005,Genetics 2A: Introduction to Genetic Analysis
Bachelor of Biomedical and Health Sciences,Program electives,BIOL2006,Genetics 2B: Applications of Genetic Analysis
Bachelor of Biomedical and Health Sciences,Program electives,BIOL2007,"Genetics 3B: Quantitative, Developmental and Medical Genetics"
Bachelor of Biomedical and Health Sciences,Program electives,BIOL2008,Immunology and Virology 2
Bachelor of Biomedical and Health Sciences,Program electives,BIOL2015,Biochemistry 2: Metabolism
Bachelor of Biomedical and Health Sciences,Program electives,BIOL2017,Biochemistry 2: Molecular and Cellular Biology
Bachelor of Biomedical and Health Sciences,Program electives,BIOL2021,Microbiology 2
Bachelor of Biomedical and Health Sciences,Program electives,BIOL2900,Molecular and Biomedical Science Practical 2
Bachelor of Biomedical and Health Sciences,Program electives,BIOL3003,Biochemistry 3 Molecular and Structural Biology
Bachelor of Biomedical and Health Sciences,Program electives,BIOL3005,Biochemistry 3 Molecular Basis of Cancer
Bachelor of Biomedical and Health Sciences,Program electives,BIOL3006,Genetics 3A: Evolutionary Genetics and Epigenetics
Bachelor of Biomedical and Health Sciences,Program electives,BIOL3008,Infection and Immunity 3A
Bachelor of Biomedical and Health Sciences,Program electives,BIOL3010,Infection and Immunity 3B
Bachelor of Biomedical and Health Sciences,Program electives,BIOL3011,Biochemistry 3: Practical
Bachelor of Biomedical and Health Sciences,Program electives,BIOL3012,Microbiology and Immunology Practical 3
Bachelor of Biomedical and Health Sciences,Program electives,BIOL3900,Genetics Practical 3A
Bachelor of Biomedical and Health Sciences,Program electives,CHEM1000,Foundations in Chemistry
Bachelor of Biomedical and Health Sciences,Program electives,CHEM1002,Chemistry 1A
Bachelor of Biomedical and Health Sciences,Program electives,HBIO1005,Essentials of Neuroscience
Bachelor of Biomedical and Health Sciences,Program electives,HBIO2005,Fundamentals of Human Neurophysiology
Bachelor of Biomedical and Health Sciences,Program electives,HBIO2006,Musculoskeletal Anatomy
