degree,section,course_code,course_name
Bachelor of Criminology and Criminal Justice,Common core,AUXX1000,UG Common Core 1
Bachelor of Criminology and Criminal Justice,Common core,AUXX2000,UG Common Core 2
Bachelor of Criminology and Criminal Justice,Common core,AUXX3000,UG Common Core 3
Bachelor of Criminology and Criminal Justice,Program core,CRIM1001,Introduction to Criminal Justice
Bachelor of Criminology and Criminal Justice,Program core,CRIM1002,Introduction to Research Methods in Criminology
Bachelor of Criminology and Criminal Justice,Program core,CRIM1003,Explaining Crime and Deviance
Bachelor of Criminology and Criminal Justice,Program core,LAWS1016,Crime Problems in Australia
Bachelor of Criminology and Criminal Justice,Program core,CRIM2000,Policing and Crime Control
Bachelor of Criminology and Criminal Justice,Program core,CRIM2001,Penology and Corrections
Bachelor of Criminology and Criminal Justice,Program core,CRIM3000,Contemporary Issues in Criminology
Bachelor of Criminology and Criminal Justice,Program core,LAWS3004,Criminal Law and Criminal Process
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Elective
Bachelor of Criminology and Criminal Justice,Standard study plans,LAWS1016,Crime Problems in Australia
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM1001,Introduction to Criminal Justice
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Core course
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM1002,Introduction to Research Methods in Criminology
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM1003,Explaining Crime and Deviance
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM2000,Policing and Crime Control
Bachelor of Criminology and Criminal Justice,Standard study plans,SOCI2019,Professional Pathways and Destinations 2
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Core course
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM2001,Penology and Corrections
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Elective
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM3003,Criminology and Criminal Justice Internship
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM3000,Contemporary Issues in Criminology
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Core course
Bachelor of Criminology and Criminal Justice,Standard study plans,LAWS3004,Criminal Law and Criminal Process
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Elective
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Elective
Bachelor of Criminology and Criminal Justice,Standard study plans,LAWS1016,Crime Problems in Australia
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM1001,Introduction to Criminal Justice
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Core course
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM1002,Introduction to Research Methods in Criminology
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM1003,Explaining Crime and Deviance
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM2000,Policing and Crime Control
Bachelor of Criminology and Criminal Justice,Standard study plans,SOCI2019,Professional Pathways and Destinations 2
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Core course
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM2001,Penology and Corrections
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Elective
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM3003,Criminology and Criminal Justice Internship
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM3000,Contemporary Issues in Criminology
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Core course
Bachelor of Criminology and Criminal Justice,Standard study plans,LAWS3004,Criminal Law and Criminal Process
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Majors
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Elective
Bachelor of Criminology and Criminal Justice,Standard study plans,SOCI2019,Professional Pathways and Destinations 2
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM3003,Criminology and Criminal Justice Internship
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Elective
Bachelor of Criminology and Criminal Justice,Standard study plans,LAWS1016,Crime Problems in Australia
Bachelor of Criminology and Criminal Justice,Standard study plans,CRIM1001,Introduction to Criminal Justice
Bachelor of Criminology and Criminal Justice,Standard study plans,-,Core course
