degree,section,course_code,course_name
Bachelor of Computer Science,Electives,COMP1002,Problem Solving and Programming
Bachelor of Computer Science,Electives,COMP1003,Structured Data
Bachelor of Computer Science,Electives,COMP1005,Object-Oriented Programming
Bachelor of Computer Science,Electives,COMP1015,Computing Innovations in the Modern World
Bachelor of Computer Science,Electives,COMP2017,Data Structures and Algorithms
Bachelor of Computer Science,Electives,COMP2021,Software Development Practice
Bachelor of Computer Science,Electives,INFO1012,Information Technology Systems
Bachelor of Computer Science,Electives,INFO1013,System Requirements
Bachelor of Computer Science,Electives,INFO1016,Security Foundations
Bachelor of Computer Science,Electives,INFO2032,Professional Communication and Teamwork
Bachelor of Computer Science,Electives,MATH1000,Foundations in Mathematics
Bachelor of Computer Science,Standard study plans,COMP1002,Problem Solving and Programming
Bachelor of Computer Science,Standard study plans,COMP1003,Structured Data
Bachelor of Computer Science,Standard study plans,INFO1012,Information Technology Systems
Bachelor of Computer Science,Standard study plans,COMP1015,Computing Innovations in the Modern World
Bachelor of Computer Science,Standard study plans,COMP1005,Object-Oriented Programming
Bachelor of Computer Science,Standard study plans,INFO1016,Security Foundations
Bachelor of Computer Science,Standard study plans,INFO1013,System Requirements
Bachelor of Computer Science,Standard study plans,MATH1000,Foundations in Mathematics
Bachelor of Computer Science,Standard study plans,MATH1006,Discrete Mathematics
Bachelor of Computer Science,Standard study plans,COMP2021,Software Development Practice
Bachelor of Computer Science,Standard study plans,COMP2000,Computer Systems
Bachelor of Computer Science,Standard study plans,COMP2022,Ethical and Legal Challenges in Technology
Bachelor of Computer Science,Standard study plans,COMP2001,"Language Models, Translation and Execution"
Bachelor of Computer Science,Standard study plans,COMP2017,Data Structures and Algorithms
Bachelor of Computer Science,Standard study plans,COMP2002,Operating Systems
Bachelor of Computer Science,Standard study plans,INFO2032,Professional Communication and Teamwork
Bachelor of Computer Science,Standard study plans,COMP3008,Advanced Data Structures and Algorithms
Bachelor of Computer Science,Standard study plans,-,Elective
Bachelor of Computer Science,Standard study plans,INFO2007,Cyber Security Application
Bachelor of Computer Science,Standard study plans,COMP2003,Theory of Computation and Formal Verification
Bachelor of Computer Science,Standard study plans,COMP2004,Distributed and Decentralised Computing
Bachelor of Computer Science,Standard study plans,INFO3901,ICT Capstone Project 1
Bachelor of Computer Science,Standard study plans,INFO3902,ICT Capstone Project 2
Bachelor of Computer Science,Standard study plans,-,Elective
Bachelor of Computer Science,Standard study plans,MATH1006,Discrete Mathematics
Bachelor of Computer Science,Standard study plans,COMP2000,Computer Systems
Bachelor of Computer Science,Standard study plans,COMP2001,"Language Models, Translation and Execution"
Bachelor of Computer Science,Standard study plans,COMP2002,Operating Systems
Bachelor of Computer Science,Standard study plans,COMP2003,Theory of Computation and Formal Verification
Bachelor of Computer Science,Standard study plans,COMP2004,Distributed and Decentralised Computing
Bachelor of Computer Science,Standard study plans,COMP2022,Ethical and Legal Challenges in Technology
Bachelor of Computer Science,Standard study plans,INFO2007,Cyber Security Application
Bachelor of Computer Science,Standard study plans,COMP3008,Advanced Data Structures and Algorithms
Bachelor of Computer Science,Standard study plans,COMP1002,Problem Solving and Programming
Bachelor of Computer Science,Standard study plans,COMP1003,Structured Data
Bachelor of Computer Science,Standard study plans,INFO1012,Information Technology Systems
Bachelor of Computer Science,Standard study plans,COMP1015,Computing Innovations in the Modern World
Bachelor of Computer Science,Standard study plans,COMP1005,Object-Oriented Programming
Bachelor of Computer Science,Standard study plans,INFO1016,Security Foundations
Bachelor of Computer Science,Standard study plans,INFO1013,System Requirements
Bachelor of Computer Science,Standard study plans,MATH1000,Foundations in Mathematics
Bachelor of Computer Science,Standard study plans,MATH1006,Discrete Mathematics
Bachelor of Computer Science,Standard study plans,COMP2021,Software Development Practice
Bachelor of Computer Science,Standard study plans,COMP2000,Computer Systems
Bachelor of Computer Science,Standard study plans,COMP2022,Ethical and Legal Challenges in Technology
Bachelor of Computer Science,Standard study plans,COMP2001,"Language Models, Translation and Execution"
Bachelor of Computer Science,Standard study plans,COMP2017,Data Structures and Algorithms
Bachelor of Computer Science,Standard study plans,COMP2002,Operating Systems
Bachelor of Computer Science,Standard study plans,INFO2032,Professional Communication and Teamwork
Bachelor of Computer Science,Standard study plans,COMP3008,Advanced Data Structures and Algorithms
Bachelor of Computer Science,Standard study plans,-,Elective
Bachelor of Computer Science,Standard study plans,INFO2007,Cyber Security Application
Bachelor of Computer Science,Standard study plans,COMP2003,Theory of Computation and Formal Verification
Bachelor of Computer Science,Standard study plans,COMP2004,Distributed and Decentralised Computing
Bachelor of Computer Science,Standard study plans,INFO3901,ICT Capstone Project 1
Bachelor of Computer Science,Standard study plans,INFO3902,ICT Capstone Project 2
Bachelor of Computer Science,Standard study plans,-,Elective
Bachelor of Computer Science,Standard study plans,COMP1002,Problem Solving and Programming
Bachelor of Computer Science,Standard study plans,COMP1003,Structured Data
Bachelor of Computer Science,Standard study plans,INFO1012,Information Technology Systems
Bachelor of Computer Science,Standard study plans,COMP1015,Computing Innovations in the Modern World
Bachelor of Computer Science,Standard study plans,COMP1005,Object-Oriented Programming
Bachelor of Computer Science,Standard study plans,INFO1016,Security Foundations
Bachelor of Computer Science,Standard study plans,INFO1013,System Requirements
Bachelor of Computer Science,Standard study plans,MATH1000,Foundations in Mathematics
Bachelor of Computer Science,Standard study plans,MATH1006,Discrete Mathematics
Bachelor of Computer Science,Standard study plans,COMP2021,Software Development Practice
Bachelor of Computer Science,Standard study plans,COMP2000,Computer Systems
Bachelor of Computer Science,Standard study plans,COMP2022,Ethical and Legal Challenges in Technology
Bachelor of Computer Science,Standard study plans,COMP2001,"Language Models, Translation and Execution"
Bachelor of Computer Science,Standard study plans,COMP2017,Data Structures and Algorithms
Bachelor of Computer Science,Standard study plans,COMP2002,Operating Systems
Bachelor of Computer Science,Standard study plans,INFO2032,Professional Communication and Teamwork
Bachelor of Computer Science,Standard study plans,COMP3008,Advanced Data Structures and Algorithms
Bachelor of Computer Science,Standard study plans,-,Elective
Bachelor of Computer Science,Standard study plans,INFO2007,Cyber Security Application
Bachelor of Computer Science,Standard study plans,COMP2003,Theory of Computation and Formal Verification
Bachelor of Computer Science,Standard study plans,COMP2004,Distributed and Decentralised Computing
Bachelor of Computer Science,Standard study plans,INFO3901,ICT Capstone Project 1
Bachelor of Computer Science,Standard study plans,INFO3902,ICT Capstone Project 2
Bachelor of Computer Science,Standard study plans,-,Elective
Bachelor of Computer Science,Standard study plans,INFO3901,ICT Capstone Project 1
Bachelor of Computer Science,Standard study plans,INFO3902,ICT Capstone Project 2
Bachelor of Computer Science,Standard study plans,COMP1002,Problem Solving and Programming
Bachelor of Computer Science,Standard study plans,COMP1003,Structured Data
Bachelor of Computer Science,Standard study plans,INFO1012,Information Technology Systems
Bachelor of Computer Science,Standard study plans,COMP1015,Computing Innovations in the Modern World
Bachelor of Computer Science,Standard study plans,COMP1005,Object-Oriented Programming
Bachelor of Computer Science,Standard study plans,INFO1016,Security Foundations
Bachelor of Computer Science,Standard study plans,INFO1013,System Requirements
Bachelor of Computer Science,Standard study plans,MATH1000,Foundations in Mathematics
Bachelor of Computer Science,Standard study plans,MATH1006,Discrete Mathematics
Bachelor of Computer Science,Standard study plans,COMP2021,Software Development Practice
Bachelor of Computer Science,Standard study plans,COMP2000,Computer Systems
Bachelor of Computer Science,Standard study plans,COMP2022,Ethical and Legal Challenges in Technology
Bachelor of Computer Science,Standard study plans,COMP2001,"Language Models, Translation and Execution"
Bachelor of Computer Science,Standard study plans,COMP2017,Data Structures and Algorithms
Bachelor of Computer Science,Standard study plans,COMP2002,Operating Systems
Bachelor of Computer Science,Standard study plans,INFO2032,Professional Communication and Teamwork
Bachelor of Computer Science,Standard study plans,COMP3008,Advanced Data Structures and Algorithms
Bachelor of Computer Science,Standard study plans,-,Elective
Bachelor of Computer Science,Standard study plans,INFO2007,Cyber Security Application
Bachelor of Computer Science,Standard study plans,COMP2003,Theory of Computation and Formal Verification
Bachelor of Computer Science,Standard study plans,COMP2004,Distributed and Decentralised Computing
Bachelor of Computer Science,Standard study plans,INFO3901,ICT Capstone Project 1
Bachelor of Computer Science,Standard study plans,INFO3902,ICT Capstone Project 2
Bachelor of Computer Science,Standard study plans,-,Elective
Bachelor of Computer Science,Standard study plans,COMP1002,Problem Solving and Programming
Bachelor of Computer Science,Standard study plans,COMP1003,Structured Data
Bachelor of Computer Science,Standard study plans,INFO1012,Information Technology Systems
Bachelor of Computer Science,Standard study plans,COMP1015,Computing Innovations in the Modern World
Bachelor of Computer Science,Standard study plans,COMP1005,Object-Oriented Programming
Bachelor of Computer Science,Standard study plans,INFO1016,Security Foundations
Bachelor of Computer Science,Standard study plans,INFO1013,System Requirements
Bachelor of Computer Science,Standard study plans,MATH1000,Foundations in Mathematics
Bachelor of Computer Science,Standard study plans,MATH1006,Discrete Mathematics
Bachelor of Computer Science,Standard study plans,COMP2021,Software Development Practice
Bachelor of Computer Science,Standard study plans,COMP2000,Computer Systems
Bachelor of Computer Science,Standard study plans,COMP2022,Ethical and Legal Challenges in Technology
Bachelor of Computer Science,Standard study plans,COMP2001,"Language Models, Translation and Execution"
Bachelor of Computer Science,Standard study plans,COMP2017,Data Structures and Algorithms
Bachelor of Computer Science,Standard study plans,COMP2002,Operating Systems
Bachelor of Computer Science,Standard study plans,INFO2032,Professional Communication and Teamwork
Bachelor of Computer Science,Standard study plans,COMP3008,Advanced Data Structures and Algorithms
Bachelor of Computer Science,Standard study plans,-,Elective
Bachelor of Computer Science,Standard study plans,INFO2007,Cyber Security Application
Bachelor of Computer Science,Standard study plans,COMP2003,Theory of Computation and Formal Verification
Bachelor of Computer Science,Standard study plans,COMP2004,Distributed and Decentralised Computing
Bachelor of Computer Science,Standard study plans,INFO3901,ICT Capstone Project 1
Bachelor of Computer Science,Standard study plans,INFO3902,ICT Capstone Project 2
Bachelor of Computer Science,Standard study plans,-,Elective
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP1002,Problem Solving and Programming
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP1003,Structured Data
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP1005,Object-Oriented Programming
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP1015,Computing Innovations in the Modern World
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP2017,Data Structures and Algorithms
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP2021,Software Development Practice
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP2040,Grand Challenges
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,INFO1012,Information Technology Systems
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,INFO1013,System Requirements
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,INFO1016,Security Foundations
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,INFO2032,Professional Communication and Teamwork
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,MATH1000,Foundations in Mathematics
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP4001,Large Language Models and Knowledge Representation
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP4002,Distributed Ledger and Contractual Execution Languages
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP4003,Database Theory and Models
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP4800,Computer Science Thesis A
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP4801,Computer Science Thesis B
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,COMP4802,Computer Science Thesis C
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Electives,MATH4048,Quantitative Methods
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP1002,Problem Solving and Programming
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP1003,Structured Data
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP1015,Computing Innovations in the Modern World
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,INFO1012,Information Technology Systems
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP1005,Object-Oriented Programming
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,INFO1013,System Requirements
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,INFO1016,Security Foundations
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,MATH1000,Foundations in Mathematics
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,STATX100,Probability and Statistics
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,MATH1022,Maths for Machine Learning
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP2021,Software Development Practice
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,ARTI2003,Artificial Intelligence
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP3011,Cloud and Concurrent Programming
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,ARTI2001,Machine Learning
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP2017,Data Structures and Algorithms
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,INFO2032,Professional Communication and Teamwork
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP2040,Grand Challenges
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,ARTIX300,Neural Networks and Deep Learning
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP3008,Advanced Data Structures and Algorithms
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,ARTI3002,Advanced Artificial Intelligence
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP2007,High Performance Computing
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP4003,Database Theory and Models
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP4800,Computer Science Thesis A
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,MATH4048,Quantitative Methods
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP4001,Large Language Models and Knowledge Representation
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP4002,Distributed Ledger and Contractual Execution Languages
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP4801,Computer Science Thesis B
Bachelor of Computer Science (Honours) majoring in Artificial Intelligence and Machine Learning,Standard study plans,COMP4802,Computer Science Thesis C
