degree,section,course_code,course_name
Bachelor of Music (Honours) majoring in Classical Performance,Electives,MUSI1036,Life in Music
Bachelor of Music (Honours) majoring in Classical Performance,Electives,MUSI4000,Honours Music Research Methodology
Bachelor of Music (Honours) majoring in Classical Performance,Electives,MUSI4001,Honours Music Minor Project
Bachelor of Music (Honours) majoring in Classical Performance,Electives,MUSI4002,Honours Music Major Project
Bachelor of Music (Honours) majoring in Classical Performance,Electives,MUSI4003,Honours Music Final Performance Popular Music
Bachelor of Music (Honours) majoring in Classical Performance,Electives,MUSI4004,Honours Music Major Project Part 1
Bachelor of Music (Honours) majoring in Classical Performance,Electives,MUSI4005,Honours Music Major Project Part 2
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI1004,Musicianship 1A
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI1009,Musicianship 1B
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI1027,Classical Performance 1A
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI1028,Classical Performance 1B
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI1029,Music Professional Development 1A
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI1031,Music Professional Development 1B
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI2003,Musicianship 2A
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI2007,Musicianship 2B
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI2025,Classical Performance 2A
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI2026,Classical Performance 2B
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI2027,Music Professional Development 2A
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI2029,Music Professional Development 2B
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI3027,Classical Performance 3A
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI3028,Classical Performance 3B
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI3029,Music Professional Development 3A
Bachelor of Music (Honours) majoring in Classical Performance,Rules and notes,MUSI3031,Music Professional Development 3B
Bachelor of Music (Honours) majoring in Classical Performance,Program electives -  closed,MUSI1000,Music Technology Foundations
Bachelor of Music (Honours) majoring in Classical Performance,Program electives -  closed,MUSI1003,Music & Sound Fundamentals 1A
Bachelor of Music (Honours) majoring in Classical Performance,Program electives -  closed,MUSI1008,Music & Sound Fundamentals 1B
