degree,section,course_code,course_name
Bachelor of Midwifery,Work integrated learning,BIOL1001,Human Biology 1
Bachelor of Midwifery,Work integrated learning,BIOL1002,Human Biology 2
Bachelor of Midwifery,Work integrated learning,BIOL2038,Fetal and Maternal Pathophysiology
Bachelor of Midwifery,Work integrated learning,MIDW1002,Primary Midwifery Practice
Bachelor of Midwifery,Work integrated learning,MIDW1003,Healthy Mothers and Babies
Bachelor of Midwifery,Work integrated learning,MIDW1101,Evidence Based Midwifery
Bachelor of Midwifery,Work integrated learning,MIDW2001,Complex Care of the Woman
Bachelor of Midwifery,Work integrated learning,MIDW2003,Complex Care of the Neonate
Bachelor of Midwifery,Work integrated learning,MIDW3000,Midwifery Project
Bachelor of Midwifery,Work integrated learning,MIDW3001,Perinatal Mental Health and Wellbeing
Bachelor of Midwifery,Work integrated learning,MIDW3002,Women's Health Across the Lifespan
Bachelor of Midwifery,Work integrated learning,MIDW3010,Becoming a Midwife
Bachelor of Midwifery,Work integrated learning,NURS1001,Aboriginal Health
Bachelor of Midwifery,Work integrated learning,PHAR2016,Pharmacology and Pharmacotherapeutics for Midwives
Bachelor of Midwifery,Rules and notes,MIDW1900,Midwifery Practice Experience 1
Bachelor of Midwifery,Rules and notes,MIDW2901,Midwifery Practice Experience 2
Bachelor of Midwifery,Rules and notes,MIDW2900,Midwifery Practice Experience 3
Bachelor of Midwifery,Rules and notes,MIDW3901,Midwifery Practice Experience 4
Bachelor of Midwifery,Rules and notes,MIDW3902,Midwifery Practice Experience 5
Bachelor of Nursing,Work integrated learning,BIOL1001,Human Biology 1
Bachelor of Nursing,Work integrated learning,BIOL1002,Human Biology 2
Bachelor of Nursing,Work integrated learning,NURS1000,Becoming a Nursing Professional
Bachelor of Nursing,Work integrated learning,NURS1001,Aboriginal Health
Bachelor of Nursing,Work integrated learning,NURS1002,Health of Older People
Bachelor of Nursing,Work integrated learning,NURS1003,Social and Political Determinants of Health
Bachelor of Nursing,Work integrated learning,NURS2001,Health of Adults
Bachelor of Nursing,Work integrated learning,NURS2002,Scientific Basis of Nursing Practice
Bachelor of Nursing,Work integrated learning,NURS2003,"Health of Infants, Children and Adolescents"
Bachelor of Nursing,Work integrated learning,NURS2004,Mental Health Nursing
Bachelor of Nursing,Work integrated learning,NURS2005,"Health Assessment, Diagnostics and Pharmacotherapeutics"
Bachelor of Nursing,Work integrated learning,NURS3001,Evidence Based Nursing Practice
Bachelor of Nursing,Work integrated learning,NURS3002,Primary Health Care Nursing
Bachelor of Nursing,Work integrated learning,NURS3003,Transition to Professional Practice
Bachelor of Nursing,Standard study plans,BIOL1001,Human Biology 1
Bachelor of Nursing,Standard study plans,NURS1000,Becoming a Nursing Professional
Bachelor of Nursing,Standard study plans,NURS1003,Social and Political Determinants of Health
Bachelor of Nursing,Standard study plans,NURS1901,Professional Experience Placement 1
Bachelor of Nursing,Standard study plans,BIOL1002,Human Biology 2
Bachelor of Nursing,Standard study plans,NURS1001,Aboriginal Health
Bachelor of Nursing,Standard study plans,NURS1002,Health of Older People
Bachelor of Nursing,Standard study plans,NURS1902,Professional Experience Placement 2
Bachelor of Nursing,Standard study plans,NURS2001,Health of Adults
Bachelor of Nursing,Standard study plans,NURS2002,Scientific Basis of Nursing Practice
Bachelor of Nursing,Standard study plans,NURS2901,Professional Experience Placement 3
Bachelor of Nursing,Standard study plans,NURS2003,"Health of Infants, Children and Adolescents"
Bachelor of Nursing,Standard study plans,NURS2004,Mental Health Nursing
Bachelor of Nursing,Standard study plans,NURS2005,"Health Assessment, Diagnostics and Pharmacotherapeutics"
Bachelor of Nursing,Standard study plans,NURS3001,Evidence Based Nursing Practice
Bachelor of Nursing,Standard study plans,NURS3002,Primary Health Care Nursing
Bachelor of Nursing,Standard study plans,NURS3900,Professional Experience Placement 4
Bachelor of Nursing,Standard study plans,NURS3003,Transition to Professional Practice
Bachelor of Nursing,Standard study plans,NURS3901,Professional Experience Placement 5
Bachelor of Nursing,Standard study plans,NURS1901,Professional Experience Placement 1
Bachelor of Nursing,Standard study plans,NURS1902,Professional Experience Placement 2
Bachelor of Nursing,Standard study plans,NURS2901,Professional Experience Placement 3
Bachelor of Nursing,Standard study plans,NURS3900,Professional Experience Placement 4
Bachelor of Nursing,Standard study plans,NURS3901,Professional Experience Placement 5
Bachelor of Nursing,Standard study plans,BIOL1001,Human Biology 1
Bachelor of Nursing,Standard study plans,NURS1000,Becoming a Nursing Professional
Bachelor of Nursing,Standard study plans,NURS1003,Social and Political Determinants of Health
Bachelor of Nursing,Standard study plans,NURS1901,Professional Experience Placement 1
Bachelor of Nursing,Standard study plans,BIOL1002,Human Biology 2
Bachelor of Nursing,Standard study plans,NURS1001,Aboriginal Health
Bachelor of Nursing,Standard study plans,NURS1002,Health of Older People
Bachelor of Nursing,Standard study plans,NURS1902,Professional Experience Placement 2
Bachelor of Nursing,Standard study plans,NURS2001,Health of Adults
Bachelor of Nursing,Standard study plans,NURS2002,Scientific Basis of Nursing Practice
Bachelor of Nursing,Standard study plans,NURS2901,Professional Experience Placement 3
Bachelor of Nursing,Standard study plans,NURS2003,"Health of Infants, Children and Adolescents"
Bachelor of Nursing,Standard study plans,NURS2004,Mental Health Nursing
Bachelor of Nursing,Standard study plans,NURS2005,"Health Assessment, Diagnostics and Pharmacotherapeutics"
Bachelor of Nursing,Standard study plans,NURS3001,Evidence Based Nursing Practice
Bachelor of Nursing,Standard study plans,NURS3002,Primary Health Care Nursing
Bachelor of Nursing,Standard study plans,NURS3900,Professional Experience Placement 4
Bachelor of Nursing,Standard study plans,NURS3003,Transition to Professional Practice
Bachelor of Nursing,Standard study plans,NURS3901,Professional Experience Placement 5
