degree,section,course_code,course_name
Bachelor of Health Science (Nutrition and Exercise),Electives,BIOL1028,UO Foundations of Human Biology 1
Bachelor of Health Science (Nutrition and Exercise),Electives,BIOL1029,UO Foundations of Human Biology 2
Bachelor of Health Science (Nutrition and Exercise),Electives,HLTH1026,UO Foundations of Health and Physical Activity
Bachelor of Health Science (Nutrition and Exercise),Electives,HLTH1027,UO Lifespan Growth and Motor Development
Bachelor of Health Science (Nutrition and Exercise),Electives,NUTR1001,UO Foundations of Nutrition and Health
Bachelor of Health Science (Nutrition and Exercise),Electives,PUBH1008,UO Health and Society
Bachelor of Health Science (Nutrition and Exercise),Electives,HLTH2012,UO Professional Communication to Work in the Health Industry
Bachelor of Health Science (Nutrition and Exercise),Electives,HLTH2013,UO Body in Motion 1
Bachelor of Health Science (Nutrition and Exercise),Electives,HLTH2014,UO Body in Motion 2
Bachelor of Health Science (Nutrition and Exercise),Electives,HLTH2016,UO Nutrition and Exercise Biochemistry
Bachelor of Health Science (Nutrition and Exercise),Electives,HLTH2017,UO Theory of Exercise Testing and Prescription 1
Bachelor of Health Science (Nutrition and Exercise),Electives,HLTH2018,UO Theory of Exercise Testing and Prescription 2
Bachelor of Health Science (Nutrition and Exercise),Electives,HUMV2003,UO Measuring Movement
Bachelor of Health Science (Nutrition and Exercise),Electives,NUTR2005,UO Human Nutrition
Bachelor of Health Science (Nutrition and Exercise),Electives,NUTR2007,UO Lifespan Nutrition
Bachelor of Health Science (Nutrition and Exercise),Electives,HLTH3020,UO Project Management for Health and Wellness
Bachelor of Health Science (Nutrition and Exercise),Electives,HUMV3006,"UO Adapted Physical Activity, Exercise and Sport"
Bachelor of Health Science (Nutrition and Exercise),Electives,NUTR3004,UO Food as Medicine
Bachelor of Health Science (Nutrition and Exercise),Electives,NUTR3005,"UO Food Safety, Quality and Security"
Bachelor of Health Science (Nutrition and Exercise),Electives,NUTR3006,UO Nutrition for Exercise and Performance
Bachelor of Health Science (Nutrition and Exercise),Electives,PSYC3033,"UO Psychology of Exercise, Sport and Health"
Bachelor of Health Science (Nutrition and Exercise),Electives,SOCI3018,UO Applications in Nutrition and Exercise
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,SOCI3014,UO Critical Approaches to Online Learning
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH1026,UO Foundations of Health and Physical Activity
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,BIOL1028,UO Foundations of Human Biology 1
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,PUBH1008,UO Health and Society
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,BIOL1029,UO Foundations of Human Biology 2
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH1027,UO Lifespan Growth and Motor Development
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,-,Elective
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,NUTR1001,UO Foundations of Nutrition and Health
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH2013,UO Body in Motion 1
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,NUTR2005,UO Human Nutrition
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH2017,UO Theory of Exercise Testing and Prescription 1
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH2016,UO Nutrition and Exercise Biochemistry
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH2014,UO Body in Motion 2
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,NUTR2007,UO Lifespan Nutrition
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH2018,UO Theory of Exercise Testing and Prescription 2
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HUMV2003,UO Measuring Movement
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,NUTR3005,"UO Food Safety, Quality and Security"
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH2012,UO Professional Communication to Work in the Health Industry
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,PSYC3033,"UO Psychology of Exercise, Sport and Health"
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH3020,UO Project Management for Health and Wellness
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,NUTR3004,UO Food as Medicine
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,NUTR3006,UO Nutrition for Exercise and Performance
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HUMV3006,"UO Adapted Physical Activity, Exercise and Sport"
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,SOCI3018,UO Applications in Nutrition and Exercise
Bachelor of Health Science (Nutrition and Exercise),Program electives,SOCI3014,UO Critical Approaches to Online Learning
Bachelor of Health Science (Nutrition and Exercise),Program electives,AUXX1011,Elective 1
Bachelor of Health Science (Nutrition and Exercise),Program electives,AUXX1012,Elective 2
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,SOCI3014,UO Critical Approaches to Online Learning
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH1026,UO Foundations of Health and Physical Activity
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,BIOL1028,UO Foundations of Human Biology 1
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,PUBH1008,UO Health and Society
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,BIOL1029,UO Foundations of Human Biology 2
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH1027,UO Lifespan Growth and Motor Development
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,-,Elective
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,NUTR1001,UO Foundations of Nutrition and Health
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH2013,UO Body in Motion 1
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,NUTR2005,UO Human Nutrition
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH2017,UO Theory of Exercise Testing and Prescription 1
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH2016,UO Nutrition and Exercise Biochemistry
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH2014,UO Body in Motion 2
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,NUTR2007,UO Lifespan Nutrition
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH2018,UO Theory of Exercise Testing and Prescription 2
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HUMV2003,UO Measuring Movement
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,NUTR3005,"UO Food Safety, Quality and Security"
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH2012,UO Professional Communication to Work in the Health Industry
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,PSYC3033,"UO Psychology of Exercise, Sport and Health"
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HLTH3020,UO Project Management for Health and Wellness
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,NUTR3004,UO Food as Medicine
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,NUTR3006,UO Nutrition for Exercise and Performance
Bachelor of Health Science (Nutrition and Exercise),Standard study plans,HUMV3006,"UO Adapted Physical Activity, Exercise and Sport"
