degree,section,course_code,course_name
Bachelor of Business majoring in Real Estate,Common core,COREX001,An Ethically Rich Life
Bachelor of Business majoring in Real Estate,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Business majoring in Real Estate,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Business majoring in Real Estate,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Business majoring in Real Estate,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Business majoring in Real Estate,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Business majoring in Real Estate,Program core,ACCT1000,Accounting for Decision Makers
Bachelor of Business majoring in Real Estate,Program core,BUSI1002,"Management, Organisations and Leadership"
Bachelor of Business majoring in Real Estate,Program core,BUSI2001,"Emerging Technologies, Data and Business Analytics"
Bachelor of Business majoring in Real Estate,Program core,MARK1000,Marketing Principles
Bachelor of Business majoring in Real Estate,Program core selectives,BUSI1001,Business Law
Bachelor of Business majoring in Real Estate,Program core selectives,BUSI2002,"Negotiation, Conflict Management and Resolution"
Bachelor of Business majoring in Real Estate,Program core selectives,BUSI3013,Strategic Management
Bachelor of Business majoring in Real Estate,Program core selectives,ECON1000,Principles of Economics
Bachelor of Business majoring in Real Estate,Program core selectives,MDIA2021,Research Methods in Media and Communication
Bachelor of Business majoring in Real Estate,Program core selectives,MDIA2022,"Media Law, Policy and Ethics"
Bachelor of Business majoring in Real Estate,Program core selectives,MDIA2102,Promotional Culture
Bachelor of Business majoring in Real Estate,Program core selectives,MDIA3017,Strategic Planning for Media and Communication
Bachelor of Business majoring in Real Estate,Program core selectives,GRAP1004,Digital Design Principles and Methods
Bachelor of Business majoring in Real Estate,Program core selectives,PROJ1000,Foundations of Project Management
Bachelor of Business majoring in Real Estate,Program core selectives,PROJ1001,Scheduling and Cost Management
Bachelor of Business majoring in Real Estate,Program core selectives,PROJ3006,Project Logistics and Supply Chains
Bachelor of Business majoring in Real Estate,Rules and notes,BAFI1002,Personal Finance
Bachelor of Business majoring in Real Estate,Rules and notes,BUSI1017,Entrepreneurial Concepts and Mindsets
Bachelor of Business majoring in Real Estate,Rules and notes,BUSI2027,Property and Real Estate Law
Bachelor of Business majoring in Real Estate,Rules and notes,MARK1004,Discovering Opportunities in Property
Bachelor of Business majoring in Real Estate,Rules and notes,MARK1006,Property Asset Management
Bachelor of Business majoring in Real Estate,Rules and notes,MARK2200,Property Economics
Bachelor of Business majoring in Real Estate,Rules and notes,MARK3200,Real Estate Practice
Bachelor of Business majoring in Real Estate,Rules and notes,MARK3201,Building Evaluation of Property
Bachelor of Business majoring in Real Estate,Rules and notes,BUSI1005,eChallenge
Bachelor of Business majoring in Real Estate,Rules and notes,BUSI2900,WIL/ Profession
Bachelor of Business majoring in Real Estate,Rules and notes,BUSI2901,WIL / Profession
Bachelor of Business majoring in Real Estate,Rules and notes,BUSI2007,Business Lifecycles
Bachelor of Business majoring in Real Estate,Rules and notes,BUSI2390,WIL (Procurement and Supply Chain Management)
Bachelor of Business majoring in Real Estate,Rules and notes,SPOR2900,Sport Practicum 1
