degree,section,course_code,course_name
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,COREX001,An Ethically Rich Life
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCI1201,Beyond Pink and Blue: Genders and Sexualities in the Contemporary World
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCI1202,"Gender and Crime: Sex, Violence and Justice"
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCI2201,"Gender, Work and Intimate Life"
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCI2202,"Gender, Sexuality and Race: Intersectionality and Coloniality"
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCI2203,"Gender, Sexuality and Everyday Cultures"
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCI3201,"Gender, Sexuality and Human Rights"
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCI3202,"Medicine, Genders and Sexuality"
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCI3203,Contemporary Theories of Genders and Sexualities in the Digital Age
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCI1007,Professional Pathways and Destinations 1
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCI2019,Professional Pathways and Destinations 2
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCI3903,Internship: Society and Culture
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,AUXX1011,Elective 1
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,AUXX1012,Elective 2
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,ABORBARTS,Aboriginal Studies
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,ANTHBARTS,Anthropology
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,ARCYBARTS,Archaeology and Classical Studies
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,ARTHBARTS,Art History and Visual Culture
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,CREWBARTS,Creative Writing
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,ENGLBARTS,English Literature
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,ENVMBARTS,Environmental Management
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,FRENBARTS,French Studies
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,GEOGBARTS,Geography
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,GERMBARTS,German Studies
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,CHINBARTS,Chinese Studies
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,CULTBARTS,Cultural Studies
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,HISTBARTS,History
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,INTDBARTS,International Development
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,INTSBARTS,International Security
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,ITALBARTS,Italian Studies
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,JAPNBARTS,Japanese Studies
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,LINGBARTS,Linguistics and Applied Linguistics
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,PHILBARTS,Philosophy
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,POLIBARTS,Politics
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,POPUBARTS,Population and Migration Studies
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SCRNBARTS,Screen Studies
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCIBARTS,Sociology
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SPANBARTS,Spanish Studies
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,SOCRBARTS,Social Research and Policy Analysis
Bachelor of Arts majoring in Gender and Sexuality Studies,Common core,KAURBARTS,Kaurna Languages
Bachelor of Arts majoring in Sociology,Common core,COREX001,An Ethically Rich Life
Bachelor of Arts majoring in Sociology,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Arts majoring in Sociology,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Arts majoring in Sociology,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Arts majoring in Sociology,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Arts majoring in Sociology,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Arts majoring in Sociology,Common core,POLI3005,The Social Life of Technology
Bachelor of Arts majoring in Sociology,Common core,POLI3006,What Tears Societies Apart
Bachelor of Arts majoring in Sociology,Common core,POLI3007,Imagining New Social Worlds
Bachelor of Arts majoring in Sociology,Common core,SOCI1000,The Remarkable Power of Society: An Introduction to Sociology
Bachelor of Arts majoring in Sociology,Common core,SOCI1001,Making Sense of Societies: Sociology in Practice
Bachelor of Arts majoring in Sociology,Common core,SOCI2004,Social Disadvantage in an Unequal World
Bachelor of Arts majoring in Sociology,Common core,SOCI2008,Think Big: Changing the World Through Social Theory
Bachelor of Arts majoring in Sociology,Common core,SOCI2005,Mediating Social Life
Bachelor of Arts majoring in Sociology,Common core,SOCI1007,Professional Pathways and Destinations 1
Bachelor of Arts majoring in Sociology,Common core,SOCI2019,Professional Pathways and Destinations 2
Bachelor of Arts majoring in Sociology,Common core,SOCI3903,Internship: Society and Culture
Bachelor of Arts majoring in Sociology,Common core,AUXX1011,Elective 1
Bachelor of Arts majoring in Sociology,Common core,AUXX1012,Elective 2
Bachelor of Arts majoring in Sociology,Common core,ABORBARTS,Aboriginal Studies
Bachelor of Arts majoring in Sociology,Common core,ANTHBARTS,Anthropology
Bachelor of Arts majoring in Sociology,Common core,ARCYBARTS,Archaeology and Classical Studies
Bachelor of Arts majoring in Sociology,Common core,ARTHBARTS,Art History and Visual Culture
Bachelor of Arts majoring in Sociology,Common core,CREWBARTS,Creative Writing
Bachelor of Arts majoring in Sociology,Common core,ENGLBARTS,English Literature
Bachelor of Arts majoring in Sociology,Common core,ENVMBARTS,Environmental Management
Bachelor of Arts majoring in Sociology,Common core,FRENBARTS,French Studies
