degree,section,course_code,course_name
Bachelor of Arts majoring in Environmental Management,Common core,COREX001,An Ethically Rich Life
Bachelor of Arts majoring in Environmental Management,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Arts majoring in Environmental Management,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Arts majoring in Environmental Management,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Arts majoring in Environmental Management,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Arts majoring in Environmental Management,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Arts majoring in Environmental Management,Common core,ENVI1003,"Economy, Environment and Place"
Bachelor of Arts majoring in Environmental Management,Common core,ENVI1010,Physical Geography and Human Environmental Impacts
Bachelor of Arts majoring in Environmental Management,Common core,ENVI2003,Environmental Management
Bachelor of Arts majoring in Environmental Management,Common core,ENVI2005,Cities and Sustainability
Bachelor of Arts majoring in Environmental Management,Common core,ENVI3004,Tourism and Environment
Bachelor of Arts majoring in Environmental Management,Common core,ENVI3003,Introduction to Environmental Impact Assessment
Bachelor of Arts majoring in Environmental Management,Common core,FARM3000,Food Security
Bachelor of Arts majoring in Environmental Management,Common core,ENVI1001,Fundamentals of Climate Change
Bachelor of Arts majoring in Environmental Management,Common core,SOCI1007,Professional Pathways and Destinations 1
Bachelor of Arts majoring in Environmental Management,Common core,SOCI2019,Professional Pathways and Destinations 2
Bachelor of Arts majoring in Environmental Management,Common core,SOCI3903,Internship: Society and Culture
Bachelor of Arts majoring in Environmental Management,Common core,AUXX1011,Elective 1
Bachelor of Arts majoring in Environmental Management,Common core,AUXX1012,Elective 2
Bachelor of Arts majoring in Environmental Management,Common core,ABORBARTS,Aboriginal Studies
Bachelor of Arts majoring in Environmental Management,Common core,ANTHBARTS,Anthropology
Bachelor of Arts majoring in Environmental Management,Common core,ARCYBARTS,Archaeology and Classical Studies
Bachelor of Arts majoring in Environmental Management,Common core,ARTHBARTS,Art History and Visual Culture
Bachelor of Arts majoring in Environmental Management,Common core,CREWBARTS,Creative Writing
Bachelor of Arts majoring in Environmental Management,Common core,ENGLBARTS,English Literature
Bachelor of Arts majoring in Environmental Management,Common core,FRENBARTS,French Studies
Bachelor of Arts majoring in Environmental Management,Common core,GEOGBARTS,Geography
Bachelor of Arts majoring in Environmental Management,Common core,GERMBARTS,German Studies
Bachelor of Arts majoring in Environmental Management,Common core,CHINBARTS,Chinese Studies
Bachelor of Arts majoring in Environmental Management,Common core,CULTBARTS,Cultural Studies
Bachelor of Arts majoring in Environmental Management,Common core,GENDBARTS,Gender and Sexuality Studies
Bachelor of Arts majoring in Environmental Management,Common core,HISTBARTS,History
Bachelor of Arts majoring in Environmental Management,Common core,INTDBARTS,International Development
Bachelor of Arts majoring in Environmental Management,Common core,INTSBARTS,International Security
Bachelor of Arts majoring in Environmental Management,Common core,ITALBARTS,Italian Studies
Bachelor of Arts majoring in Environmental Management,Common core,JAPNBARTS,Japanese Studies
Bachelor of Arts majoring in Environmental Management,Common core,LINGBARTS,Linguistics and Applied Linguistics
Bachelor of Arts majoring in Environmental Management,Common core,PHILBARTS,Philosophy
Bachelor of Arts majoring in Environmental Management,Common core,POLIBARTS,Politics
Bachelor of Arts majoring in Environmental Management,Common core,POPUBARTS,Population and Migration Studies
Bachelor of Arts majoring in Environmental Management,Common core,SCRNBARTS,Screen Studies
Bachelor of Arts majoring in Environmental Management,Common core,SOCIBARTS,Sociology
Bachelor of Arts majoring in Environmental Management,Common core,SPANBARTS,Spanish Studies
Bachelor of Arts majoring in Environmental Management,Common core,SOCRBARTS,Social Research and Policy Analysis
Bachelor of Arts majoring in Environmental Management,Common core,KAURBARTS,Kaurna Languages
Bachelor of Biomedical and Health Sciences,Common core,COREX001,An Ethically Rich Life
Bachelor of Biomedical and Health Sciences,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Biomedical and Health Sciences,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Biomedical and Health Sciences,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Biomedical and Health Sciences,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Biomedical and Health Sciences,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Biomedical and Health Sciences,Program core,HLTH1002,Introduction to Health Research
Bachelor of Biomedical and Health Sciences,Program core,HBIO1002,Human Anatomy and Physiology A
Bachelor of Biomedical and Health Sciences,Program core,HBIO1003,Human Anatomy and Physiology B
Bachelor of Biomedical and Health Sciences,Program core,MEDI3003,Development of Health Research Skills
Bachelor of Biomedical and Health Sciences,Rules and notes,HLTH3900,WIL in Biomedical and Health Sciences
Bachelor of Biomedical and Health Sciences,Program electives,BIOL1003,"Biology 1A: Molecules, Genes and Cells"
Bachelor of Biomedical and Health Sciences,Program electives,BIOL2005,Genetics 2A: Introduction to Genetic Analysis
Bachelor of Biomedical and Health Sciences,Program electives,BIOL2006,Genetics 2B: Applications of Genetic Analysis
