degree,section,course_code,course_name
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Common core,COREX001,An Ethically Rich Life
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Common core,COREX002,Fact or Fiction: Data for Everyone
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Common core,COREX003,Igniting Change: Ideas to Action
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Common core,COREX004,"Proppa Ways, Future Practice"
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Common core,COREX005,"Responsible AI: Bridging Ethics, Education and Industry"
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Common core,COREX006,"Ways of Being, Ways of Seeing"
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Program core,HBIO1000,Exercise Physiology 1
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Program core,HBIO1002,Human Anatomy and Physiology A
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Program core,HBIO1003,Human Anatomy and Physiology B
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Program core,HBIO2061,Motor Control and Learning
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Program core,HLTH1003,Physical Activity and Health
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Program core,HUMV1001,Motor Development and Ageing
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Program core,HUMV2002,Biomechanics of Human Movement
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Program core,PSIO3002,Group and Team Leadership
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,-,Core course
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,HBIO1002,Human Anatomy and Physiology A
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,HLTH1003,Physical Activity and Health
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,SPOR2005,Foundations of Outdoor Leadership
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,HBIO1003,Human Anatomy and Physiology B
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,HUMV1001,Motor Development and Ageing
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,SPOR2004,Teaching and Coaching
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,HUMV3003,Dance and Alternative Movement Forms
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,EDUC3008,Sport Practice
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,SPOR2003,Active Lifestyles
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,HBIO1000,Exercise Physiology 1
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,HBIO2061,Motor Control and Learning
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,-,Core course
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,HUMV2002,Biomechanics of Human Movement
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,SOCI2006,Outdoor Leadership Theory and Practice
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,-,Elective
Bachelor of Human Movement majoring in Secondary Health and Physical Education,Standard study plans,HUMV3005,Health and Relationships Education
