degree,section,course_code,course_name
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,ACCT1005,UO Accounting for Business
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,BUSI1030,UO Career Development in Business
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,BUSI2019,UO Management and Organisation
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,BUSI2021,UO Entrepreneurship for Social and Market Impact
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,BUSI3033,UO Strategic Management
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,ECON1010,UO Principles of Economics
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,HOSP1003,UO Fundamentals of Global Tourism & Hospitality
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,HOSP2006,UO Eventful Cities and Event Leveraging
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,HOSP2007,"UO Experiential Product Design for Tourism, Events and Hospitality"
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,HOSP2008,UO Foundations of Event Management
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,HOSP2009,UO Managing Hospitality Operations
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,HOSP3006,"UO Digital Technologies in Tourism, Events and Hospitality"
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,HOSP3007,UO Sustainable Tourism Destination Management
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,HOSP3008,"UO Tourism, Events and Hospitality Industry Research Project"
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,IBUS3008,UO International Business Environments
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,INFO2022,UO Business Intelligence
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,LAWS1018,UO Business Law
"Bachelor of Business (Tourism, Events and Hospitality Management)",Core courses,MARK1013,UO Marketing Principles: Trading and Exchange
"Bachelor of Business (Tourism, Events and Hospitality Management)",Standard study plans,SOCI3014,UO Critical Approaches to Online Learning
